Date,NG1 Comdty,HO1 Comdty,QS1 Comdty,GC1 Comdty,SI1 Comdty,HG1 Comdty,LMCADS03 Comdty,LMAHDS03 Comdty,LMZSDS03 Comdty,LMSNDS03 Comdty,C 1 Comdty,W 1 Comdty,O 1 Comdty,S 1 Comdty,SM1 Comdty
10/30/1991,-0.01290631,-0.001022943,0.006968641,0.003060657,-0.000486027,0.000927214,-0.003856422,-0.002115954,0.001971414,0.002685765,-0.007897335,-0.010351967,-0.003766478,-0.007633588,-0.002177463
10/31/1991,-0.009200969,0.003071972,-0.001153403,-0.002773925,-0.001215658,-0.01250579,-0.004424402,0.004240882,-0.003443187,0.002678571,-0.000995025,0.013947001,0,0.009954751,0.004909984
11/1/1991,0.018084066,0.030771474,0.01039261,-0.007232267,-0.010954236,0.000469043,0.001709256,-0.001689189,-0.007403751,-0.003561888,0.011952191,0.00343879,0,0.016577061,0.009229099
11/4/1991,0.017762842,0.014148274,0.018285714,0.003362286,0.004922471,0.004688233,-0.009427523,0.000423012,0.00397812,0.000893655,-0.008858268,-0.004797807,-0.003780718,-0.006170119,-0.003227542
11/5/1991,-0.023113208,0.002232143,-0.001122334,-0.007539793,-0.004898359,-0.005599627,0.006718057,0.001268499,0.002476474,-0.002321429,-0.009930487,-0.00137741,-0.011385199,-0.001330377,-0.010793308
11/6/1991,-0.003862868,-0.011414254,-0.002247191,0.001125492,0.001230618,-0.000938527,-0.005090474,-0.003378378,0.010375494,0.004116699,-0.011033099,-0.014482759,-0.003838772,-0.010657194,-0.020731042
11/7/1991,0.009209889,-0.009856378,-0.002252252,-0.003091625,-0.017207473,-0.005636449,0.005331499,0.002966102,0.017114914,-0.003030303,-0.006085193,-0.019594122,0,-0.005385996,0.003899721
11/8/1991,0,-0.010665529,-0.004514673,0.001409642,0.001250625,-0.004251299,-0.001839021,-0.00591466,0.008653846,0.00035759,0,0.002141328,-0.001926782,0,0.000554939
11/11/1991,-0.005763689,-0.028748024,-0.026077098,0.002815315,0.001748688,-0.013282732,-0.004113287,-0.011474713,0.003813155,-0.003038427,-0.008163265,-0.00997151,-0.011583012,-0.01398917,-0.013865779
11/12/1991,-0.007246377,-0.014947462,-0.017462165,0.001403706,0.006982544,0.005769231,-0.010712903,0,-0.002849003,0.00125493,0.001028807,-0.000719424,0,0,0.002249719
11/13/1991,-0.00729927,-0.009915865,0,0.001682086,0.002476474,-0.002390057,0.008480473,0.007738607,0.014761905,-0.009847807,0.011305242,0.01511879,0.005859375,0.018306636,0.015151515
11/14/1991,-0.019607843,-0.003034901,-0.043838863,-0.00447803,-0.016798419,0.018207954,-0.001509336,-0.004266212,0.002346316,0.003616637,-0.007113821,0.008510638,-0.001941748,0.014831461,0.006080708
11/15/1991,0.02,0.027092846,0.040892193,0.012369975,0.011809045,0,0.002073076,0.022707798,0.053370787,0,-0.018423746,-0.014767932,-0.005836576,-0.017271922,-0.015384615
11/18/1991,-0.019117647,-0.03097214,-0.01547619,0.003887809,0,-0.010823529,-0.006982157,-0.018852116,-0.015111111,-0.000540541,0.010427529,0.005710207,0.005870841,0.023884633,0.014508929
11/19/1991,-0.045477261,-0.014681144,-0.008464329,0.00802213,0.011174572,-0.01284491,-0.001085069,-0.011101623,0.005415162,0.000540833,-0.010319917,0.004968062,-0.015564202,-0.004841549,-0.00880088
11/20/1991,0.040314136,-0.010864504,-0.015853659,0.000823271,0.002455796,-0.001445783,-0.003475994,0.004749568,0.039497307,0.000900901,0.008342023,0.036723164,0.007905138,-0.001326847,0.00554939
11/21/1991,0.051333669,-0.002667504,0.004956629,0.010693721,0.010534052,-0.001447876,0.001962067,-0.007305544,0.022452504,0,-0.002068252,-0.004087193,-0.001960784,-0.008414526,-0.007174393
11/22/1991,-0.001436094,-0.023599748,-0.022194821,0.002712968,0.002424242,-0.003383277,-0.002915579,-0.00952381,0.007601351,0.00450045,-0.003108808,0.008891929,0.015717092,0.001786512,-0.006670372
