,NG1 Comdty Position,HO1 Comdty Position,QS1 Comdty Position,GC1 Comdty Position,SI1 Comdty Position,HG1 Comdty Position,LMCADS03 Comdty Position,LMAHDS03 Comdty Position,LMZSDS03 Comdty Position,LMSNDS03 Comdty Position,C 1 Comdty Position,W 1 Comdty Position,O 1 Comdty Position,S 1 Comdty Position,SM1 Comdty Position
256,-1,-1,0,1,0,0,0,1,1,1,0,-1,-1,1,0
257,-1,-1,0,1,0,0,0,1,1,1,0,-1,-1,1,0
258,-1,-1,0,1,0,0,0,1,1,1,0,-1,-1,1,0
259,-1,-1,0,1,0,0,0,1,1,1,0,-1,-1,1,0
260,-1,-1,0,1,0,0,0,1,1,1,0,-1,-1,1,0
261,-1,-1,0,1,0,0,0,1,1,1,0,-1,-1,1,0
262,-1,-1,0,1,0,0,0,1,1,1,0,-1,-1,1,0
263,-1,-1,0,1,0,0,0,1,1,1,0,-1,-1,1,0
264,-1,-1,0,1,0,0,0,1,1,1,0,-1,-1,1,0
265,-1,-1,0,1,0,0,0,1,1,1,0,-1,-1,1,0
266,-1,-1,0,1,0,0,0,1,1,1,0,-1,-1,1,0
267,-1,-1,0,1,0,0,0,1,1,1,0,-1,-1,1,0
268,-1,-1,0,1,0,0,0,1,1,1,0,-1,-1,1,0
269,-1,-1,0,1,0,0,0,1,1,1,0,-1,-1,1,0
270,-1,-1,0,1,0,0,0,1,1,1,0,-1,-1,1,0
271,-1,-1,0,1,0,0,0,1,1,1,0,-1,-1,1,0
272,-1,-1,0,1,0,0,0,1,1,1,0,-1,-1,1,0
273,-1,-1,0,1,0,0,0,1,1,1,0,-1,-1,1,0
274,-1,-1,0,1,0,0,0,1,1,1,0,-1,-1,1,0
275,-1,-1,0,1,0,0,0,1,1,1,0,-1,-1,1,0
276,-1,-1,0,1,0,0,0,1,1,1,0,-1,-1,1,0
277,-1,-1,0,1,0,0,0,1,1,1,0,-1,-1,1,0
278,-1,-1,0,0,0,1,0,1,1,1,0,-1,-1,1,0
279,-1,-1,0,0,0,1,1,1,0,1,0,-1,-1,1,0
280,-1,-1,0,0,0,1,1,1,0,1,0,-1,-1,1,0
281,-1,-1,0,0,0,1,0,1,0,1,1,-1,-1,1,0
282,-1,0,0,0,0,1,0,1,-1,1,1,-1,-1,1,0
283,-1,0,0,0,0,1,1,1,-1,1,0,-1,-1,1,0
284,-1,0,1,0,0,1,1,1,-1,1,0,-1,-1,0,0
