Date,Last Price
30/11/23,101.8067
29/11/23,102.3333
28/11/23,101.9748
27/11/23,100.9681
24/11/23,101.4189
22/11/23,102.1838
21/11/23,102.9389
20/11/23,102.6901
17/11/23,101.9202
16/11/23,101.7808
15/11/23,103.3672
14/11/23,103.3938
13/11/23,103.1268
10/11/23,101.6086
9/11/23,102.1643
8/11/23,102.3481
7/11/23,103.0161
6/11/23,104.9975
3/11/23,105.2272
2/11/23,105.0477
1/11/23,104.1593
31/10/23,104.6162
30/10/23,104.474
27/10/23,105.63
26/10/23,104.5994
25/10/23,105.0615
24/10/23,104.5826
23/10/23,104.8618
20/10/23,105.8155
19/10/23,106.0803
18/10/23,105.8979
17/10/23,104.8331
16/10/23,104.7056
13/10/23,105.287
12/10/23,103.3567
11/10/23,103.0353
10/10/23,103.6054
9/10/23,103.756
6/10/23,102.5742
5/10/23,101.6456
4/10/23,101.6285
3/10/23,103.4618
2/10/23,103.7479
29/9/23,104.8391
28/9/23,105.8928
27/9/23,105.7688
26/9/23,105.405
25/9/23,105.7523
22/9/23,106.2245
21/9/23,106.0696
20/9/23,107.2461
19/9/23,107.4641
18/9/23,107.4003
15/9/23,107.4702
14/9/23,107.7119
13/9/23,106.9543
12/9/23,106.8176
11/9/23,106.6824
8/9/23,106.0826
7/9/23,106.0115
6/9/23,106.3853
5/9/23,106.6385
1/9/23,106.7234
31/8/23,106.0289
30/8/23,106.1231
29/8/23,105.7818
28/8/23,105.6527
25/8/23,105.4753
24/8/23,104.8874
23/8/23,104.6391
22/8/23,103.9352
21/8/23,104.2595
18/8/23,104.2442
17/8/23,103.7637
16/8/23,103.4349
15/8/23,103.8041
14/8/23,105.0976
11/8/23,105.5861
10/8/23,105.8719
9/8/23,106.5389
8/8/23,105.7102
7/8/23,105.7569
4/8/23,105.932
3/8/23,105.5456
2/8/23,105.0157
1/8/23,106.6636
31/7/23,107.3396
28/7/23,107.2298
27/7/23,106.9292
26/7/23,107.5335
25/7/23,108.2421
24/7/23,107.6541
21/7/23,106.1991
20/7/23,106.0429
19/7/23,105.5207
18/7/23,104.9102
17/7/23,103.5916
14/7/23,104.5971
13/7/23,104.5159
12/7/23,103.3871
11/7/23,103.1002
10/7/23,102.1541
7/7/23,101.9122
6/7/23,101.3891
5/7/23,102.0268
3/7/23,101.2527
30/6/23,101.4785
29/6/23,100.2506
28/6/23,100.3296
27/6/23,101.2242
26/6/23,102.4776
23/6/23,102.3456
22/6/23,103.2163
21/6/23,104.7676
20/6/23,103.6242
16/6/23,105.1417
15/6/23,103.5079
14/6/23,101.2802
13/6/23,101.1083
12/6/23,99.9348
9/6/23,100.9596
8/6/23,101.388
7/6/23,100.6793
6/6/23,100.4277
5/6/23,100.0633
2/6/23,99.8213
1/6/23,99.1922
31/5/23,97.9647
30/5/23,98.3284
26/5/23,100.0794
25/5/23,99.2939
24/5/23,100.5773
23/5/23,100.4944
22/5/23,100.8743
19/5/23,101.0741
18/5/23,100.966
17/5/23,101.4239
16/5/23,101.1662
15/5/23,102.3245
12/5/23,101.1839
11/5/23,101.1199
10/5/23,102.734
9/5/23,103.5492
8/5/23,103.6997
5/5/23,102.9563
4/5/23,101.6529
3/5/23,101.5413
2/5/23,102.3281
1/5/23,103.6653
28/4/23,104.3114
27/4/23,103.3361
26/4/23,103.4534
25/4/23,104.6145
24/4/23,105.9963
21/4/23,105.5753
20/4/23,106.3893
19/4/23,107.3306
18/4/23,108.7529
17/4/23,108.0345
14/4/23,107.8204
13/4/23,107.7188
12/4/23,107.6193
11/4/23,107.1386
10/4/23,106.2505
6/4/23,106.2398
5/4/23,106.6344
4/4/23,106.5169
3/4/23,106.5337
31/3/23,105.5076
30/3/23,104.3921
29/3/23,104.1591
28/3/23,104.362
27/3/23,103.7487
24/3/23,103.0238
23/3/23,102.5509
22/3/23,102.5711
21/3/23,102.707
20/3/23,102.5698
17/3/23,102.5945
16/3/23,102.7609
15/3/23,102.152
14/3/23,104.2085
13/3/23,105.1314
10/3/23,104.5533
9/3/23,104.1983
8/3/23,105.0476
7/3/23,105.7738
6/3/23,107.3258
3/3/23,108.3105
2/3/23,106.9377
1/3/23,107.2923
28/2/23,106.1591
27/2/23,105.9698
24/2/23,105.5489
23/2/23,105.9813
22/2/23,106.1328
21/2/23,107.0443
17/2/23,106.5327
16/2/23,107.4432
15/2/23,107.4009
14/2/23,108.7588
13/2/23,108.5619
10/2/23,108.6756
9/2/23,107.9031
8/2/23,108.0934
7/2/23,108.1139
6/2/23,106.6752
3/2/23,107.0711
2/2/23,109.4116
1/2/23,109.5348
31/1/23,111.8001
30/1/23,110.7983
27/1/23,111.611
26/1/23,112.3885
25/1/23,111.7393
24/1/23,111.9141
23/1/23,112.5185
20/1/23,112.1277
19/1/23,111.8466
18/1/23,111.5941
17/1/23,112.0157
13/1/23,111.5772
12/1/23,110.9404
11/1/23,109.6679
10/1/23,108.6524
9/1/23,109.2429
6/1/23,108.1114
5/1/23,107.3618
4/1/23,108.5645
3/1/23,110.3157
30/12/22,112.8052
29/12/22,112.3937
28/12/22,112.6616
27/12/22,113.3564
23/12/22,112.5557
22/12/22,111.2826
21/12/22,113.1305
20/12/22,111.9071
19/12/22,111.6411
16/12/22,112.7092
15/12/22,113.79
14/12/22,114.549
13/12/22,114.9612
12/12/22,112.737
9/12/22,111.7327
8/12/22,111.1893
7/12/22,110.7246
6/12/22,109.979
5/12/22,111.1317
2/12/22,114.4683
1/12/22,116.079
30/11/22,116.0528
29/11/22,115.1879
28/11/22,114.3929
25/11/22,114.9175
23/11/22,116.5097
22/11/22,116.3729
21/11/22,115.3334
18/11/22,114.794
17/11/22,115.1212
16/11/22,116.8407
15/11/22,117.5266
14/11/22,116.6252
11/11/22,116.8796
10/11/22,115.9968
9/11/22,114.5601
8/11/22,116.3446
7/11/22,118.1416
4/11/22,117.4946
3/11/22,113.6014
2/11/22,115.0882
1/11/22,113.5167
31/10/22,113.3532
28/10/22,111.7561
27/10/22,113.2491
26/10/22,113.8936
25/10/22,112.8293
24/10/22,111.6278
21/10/22,111.271
20/10/22,111.449
19/10/22,111.2009
18/10/22,111.8046
17/10/22,113.1218
14/10/22,113.6662
13/10/22,115.9979
12/10/22,114.6169
11/10/22,115.4479
10/10/22,116.0076
7/10/22,117.1356
6/10/22,116.7247
5/10/22,116.4826
4/10/22,115.7081
3/10/22,112.7541
30/9/22,111.4887
29/9/22,112.5709
28/9/22,112.7518
27/9/22,110.4532
26/9/22,110.6013
23/9/22,112.4019
22/9/22,116.0139
21/9/22,116.9968
20/9/22,117.3242
19/9/22,116.8749
16/9/22,116.7431
15/9/22,117.7562
14/9/22,121.3896
13/9/22,120.107
12/9/22,120.78
9/9/22,118.5179
8/9/22,116.1733
7/9/22,115.7208
6/9/22,117.4672
2/9/22,119.1003
1/9/22,119.4641
31/8/22,121.6412
30/8/22,122.5635
29/8/22,125.605
26/8/22,124.5972
25/8/22,124.1499
24/8/22,124.7489
23/8/22,123.9199
22/8/22,123.3756
19/8/22,122.3162
18/8/22,121.4756
17/8/22,121.3616
16/8/22,121.544
15/8/22,121.3813
12/8/22,123.2038
11/8/22,123.6355
10/8/22,120.7119
9/8/22,118.657
8/8/22,117.2995
5/8/22,117.8512
4/8/22,118.0448
3/8/22,117.8687
2/8/22,117.7836
1/8/22,119.8033
29/7/22,121.827
28/7/22,120.2881
27/7/22,119.9368
26/7/22,119.3385
25/7/22,118.072
22/7/22,116.5236
21/7/22,115.8556
20/7/22,117.5544
19/7/22,116.0464
18/7/22,117.1397
15/7/22,113.4684
14/7/22,111.7193
13/7/22,113.6652
12/7/22,111.9622
11/7/22,116.3843
8/7/22,115.9131
7/7/22,115.1385
6/7/22,110.7525
5/7/22,111.8706
1/7/22,117.1284
30/6/22,117.0482
29/6/22,122.2785
28/6/22,122.6985
27/6/22,121.844
24/6/22,121.3129
23/6/22,120.9108
22/6/22,124.7315
21/6/22,126.329
17/6/22,126.7754
16/6/22,130.3233
15/6/22,129.4447
14/6/22,129.0639
13/6/22,133.2447
10/6/22,135.4343
9/6/22,136.6096
8/6/22,136.0384
7/6/22,136.4088
6/6/22,136.3127
3/6/22,133.8178
2/6/22,133.8311
1/6/22,132.8027
31/5/22,131.343
27/5/22,133.8715
26/5/22,133.2613
25/5/22,132.105
24/5/22,131.9297
23/5/22,132.3495
20/5/22,130.5458
19/5/22,131.1103
