Date,MO1 Comdty - Last Price
14/11/23,78.63
13/11/23,77.48
10/11/23,78.7
9/11/23,77.38
8/11/23,75.7
7/11/23,75.25
6/11/23,75.84
3/11/23,77.64
2/11/23,78.61
1/11/23,78.54
31/10/23,79.05
30/10/23,78.72
27/10/23,79.35
26/10/23,79.65
25/10/23,79.92
24/10/23,80.58
23/10/23,80.5
20/10/23,81.41
19/10/23,81.76
18/10/23,81.86
17/10/23,82.55
16/10/23,83.35
13/10/23,85.95
12/10/23,85.23
11/10/23,84.12
10/10/23,84.82
9/10/23,81.75
6/10/23,80.46
5/10/23,80.51
4/10/23,81.67
3/10/23,79.65
2/10/23,80.8
29/9/23,81.67
28/9/23,82.71
27/9/23,82.29
26/9/23,82.92
25/9/23,84.37
22/9/23,84.56
21/9/23,83.23
20/9/23,81.92
19/9/23,80.36
18/9/23,79.99
15/9/23,81.44
14/9/23,82.23
13/9/23,82.15
12/9/23,80.23
11/9/23,80.8
8/9/23,80.65
7/9/23,82.05
6/9/23,82.79
5/9/23,82.95
4/9/23,83.26
1/9/23,84.37
31/8/23,84.86
30/8/23,85.35
29/8/23,83.88
28/8/23,84.79
25/8/23,84.5
24/8/23,84.94
23/8/23,87.31
22/8/23,88.92
21/8/23,86.93
18/8/23,87.07
17/8/23,87.88
16/8/23,87.52
15/8/23,86.19
14/8/23,86.82
11/8/23,85.82
10/8/23,83.98
9/8/23,83.03
8/8/23,83.44
7/8/23,81.76
4/8/23,82.73
3/8/23,83.86
2/8/23,82.53
1/8/23,84.16
31/7/23,85.69
28/7/23,87.68
27/7/23,90.03
26/7/23,89.83
25/7/23,90.89
24/7/23,90.09
21/7/23,90.43
20/7/23,89.56
19/7/23,88.25
18/7/23,86.42
17/7/23,85.56
14/7/23,85.11
13/7/23,84.91
12/7/23,84.88
11/7/23,85.81
10/7/23,85.38
7/7/23,85.23
6/7/23,85.05
5/7/23,84.91
4/7/23,86.32
3/7/23,86.33
30/6/23,88.09
29/6/23,86.9
28/6/23,86.72
27/6/23,87.85
26/6/23,84.3
23/6/23,85.93
22/6/23,88.2
21/6/23,88.59
20/6/23,92.9
19/6/23,90.25
16/6/23,90.51
15/6/23,91.41
14/6/23,91.52
13/6/23,88.12
12/6/23,86.09
9/6/23,85.06
8/6/23,82.32
7/6/23,81.92
6/6/23,80.05
5/6/23,80.88
2/6/23,77.38
1/6/23,77.11
31/5/23,79.38
30/5/23,78.82
29/5/23,81.13
26/5/23,80.56
25/5/23,81.23
24/5/23,83.35
23/5/23,83.68
22/5/23,85.95
19/5/23,88.09
18/5/23,88.06
17/5/23,86.41
16/5/23,86.81
15/5/23,85.2
12/5/23,86.65
11/5/23,86.59
10/5/23,87.7
9/5/23,85.06
8/5/23,83.71
5/5/23,83.28
4/5/23,83.0
3/5/23,83.28
2/5/23,86.63
1/5/23,84.25
28/4/23,85.63
27/4/23,84.3
26/4/23,83.87
25/4/23,85.16
24/4/23,86.53
21/4/23,87.83
20/4/23,90.05
19/4/23,92.53
18/4/23,93.39
17/4/23,91.11
14/4/23,91.92
13/4/23,92.55
12/4/23,93.99
11/4/23,95.49
10/4/23,94.74
6/4/23,94.74
5/4/23,94.72
4/4/23,93.07
3/4/23,93.88
31/3/23,90.09
30/3/23,89.1
29/3/23,88.4
28/3/23,87.47
27/3/23,84.77
24/3/23,85.1
23/3/23,89.69
22/3/23,86.77
21/3/23,86.88
20/3/23,85.11
17/3/23,84.58
16/3/23,84.43
15/3/23,86.6
14/3/23,89.8
13/3/23,94.26
10/3/23,96.72
9/3/23,95.31
8/3/23,94.7
7/3/23,92.59
6/3/23,89.9
3/3/23,89.07
2/3/23,90.23
1/3/23,93.72
28/2/23,96.58
27/2/23,97.05
24/2/23,94.31
23/2/23,94.53
22/2/23,93.77
21/2/23,97.28
20/2/23,95.36
17/2/23,93.34
16/2/23,94.61
15/2/23,91.5
14/2/23,89.28
13/2/23,89.43
10/2/23,90.23
9/2/23,88.22
8/2/23,87.52
7/2/23,87.54
6/2/23,88.07
3/2/23,90.44
2/2/23,90.19
1/2/23,92.6
31/1/23,90.25
30/1/23,86.91
27/1/23,86.51
26/1/23,86.79
25/1/23,81.77
24/1/23,79.23
23/1/23,82.7
20/1/23,82.62
19/1/23,81.47
18/1/23,80.86
17/1/23,77.16
16/1/23,75.17
13/1/23,77.44
12/1/23,77.81
11/1/23,76.56
10/1/23,78.15
9/1/23,79.14
6/1/23,75.14
5/1/23,76.59
4/1/23,75.48
3/1/23,81.13
2/1/23,83.85
30/12/22,81.49
29/12/22,82.0
28/12/22,83.54
27/12/22,85.77
23/12/22,86.81
22/12/22,86.72
21/12/22,85.35
20/12/22,87.67
19/12/22,84.11
16/12/22,83.82
15/12/22,85.5
14/12/22,86.61
13/12/22,88.64
12/12/22,90.17
9/12/22,87.84
8/12/22,88.67
7/12/22,88.07
6/12/22,87.69
5/12/22,87.31
2/12/22,87.67
1/12/22,85.22
30/11/22,84.69
29/11/22,81.25
28/11/22,78.81
25/11/22,78.86
24/11/22,78.27
23/11/22,75.87
22/11/22,73.89
21/11/22,74.61
18/11/22,72.47
17/11/22,72.4
16/11/22,73.41
15/11/22,76.65
14/11/22,75.23
11/11/22,75.84
10/11/22,73.05
9/11/22,72.76
8/11/22,76.06
7/11/22,77.49
4/11/22,76.36
3/11/22,76.28
2/11/22,76.7
1/11/22,76.72
31/10/22,79.97
28/10/22,81.21
27/10/22,80.21
26/10/22,75.79
25/10/22,77.11
24/10/22,72.32
21/10/22,68.72
20/10/22,66.87
19/10/22,67.29
18/10/22,67.77
17/10/22,67.51
14/10/22,68.02
13/10/22,68.84
12/10/22,66.71
11/10/22,66.34
10/10/22,66.77
7/10/22,69.85
6/10/22,68.96
5/10/22,67.07
4/10/22,66.92
3/10/22,65.94
30/9/22,66.73
29/9/22,65.73
28/9/22,65.15
27/9/22,67.96
26/9/22,69.97
23/9/22,65.41
22/9/22,70.05
21/9/22,69.4
20/9/22,70.74
19/9/22,70.71
16/9/22,72.87
15/9/22,71.45
14/9/22,72.14
13/9/22,69.36
12/9/22,71.44
9/9/22,65.72
8/9/22,66.93
7/9/22,68.71
6/9/22,69.57
5/9/22,74.05
2/9/22,77.45
1/9/22,80.33
31/8/22,79.61
30/8/22,80.34
29/8/22,86.24
26/8/22,89.94
25/8/22,88.95
24/8/22,88.86
23/8/22,88.94
22/8/22,91.83
19/8/22,97.67
18/8/22,95.72
17/8/22,95.5
16/8/22,91.77
15/8/22,90.48
12/8/22,88.58
11/8/22,87.27
10/8/22,85.63
9/8/22,85.65
8/8/22,83.53
5/8/22,84.48
4/8/22,83.9
3/8/22,83.71
2/8/22,81.66
1/8/22,80.28
29/7/22,78.27
28/7/22,78.68
27/7/22,75.85
26/7/22,76.39
25/7/22,76.08
22/7/22,76.03
21/7/22,77.85
20/7/22,78.58
19/7/22,83.37
18/7/22,84.66
15/7/22,85.09
14/7/22,83.7
13/7/22,83.59
12/7/22,85.37
11/7/22,84.07
8/7/22,82.51
7/7/22,84.64
6/7/22,82.94
5/7/22,82.99
4/7/22,84.29
1/7/22,85.3
30/6/22,89.88
29/6/22,88.07
28/6/22,87.12
27/6/22,84.59
24/6/22,82.98
23/6/22,83.67
22/6/22,81.42
21/6/22,84.27
20/6/22,83.59
17/6/22,81.99
16/6/22,82.61
15/6/22,85.83
14/6/22,83.78
13/6/22,81.2
10/6/22,81.53
9/6/22,80.68
8/6/22,79.49
7/6/22,80.98
6/6/22,81.08
3/6/22,86.5
2/6/22,85.98
1/6/22,85.72
31/5/22,83.66
30/5/22,83.61
27/5/22,83.84
26/5/22,84.4
25/5/22,81.04
24/5/22,80.98
23/5/22,77.81
20/5/22,80.05
19/5/22,82.82
18/5/22,84.27
17/5/22,91.33
16/5/22,89.18
13/5/22,88.09
12/5/22,87.87
11/5/22,88.45
10/5/22,86.93
9/5/22,86.62
6/5/22,91.14
5/5/22,88.53
4/5/22,87.9
3/5/22,87.78
2/5/22,82.65
29/4/22,84.04
28/4/22,82.31
27/4/22,80.66
26/4/22,82.35
25/4/22,83.13
22/4/22,88.68
21/4/22,86.19
20/4/22,87.6
19/4/22,79.98
18/4/22,79.78
14/4/22,79.78
13/4/22,77.26
12/4/22,78.84
11/4/22,77.79
8/4/22,79.93
7/4/22,79.78
