Date,NG1 Comdty - Last Price
14/11/23,3.094
13/11/23,3.197
10/11/23,3.033
9/11/23,3.041
8/11/23,3.106
7/11/23,3.14
6/11/23,3.264
3/11/23,3.515
2/11/23,3.472
1/11/23,3.494
31/10/23,3.575
30/10/23,3.352
27/10/23,3.164
26/10/23,3.214
25/10/23,3.01
24/10/23,2.971
23/10/23,2.926
20/10/23,2.899
19/10/23,2.957
18/10/23,3.056
17/10/23,3.079
16/10/23,3.109
13/10/23,3.236
12/10/23,3.344
11/10/23,3.377
10/10/23,3.382
9/10/23,3.376
6/10/23,3.338
5/10/23,3.166
4/10/23,2.962
3/10/23,2.949
2/10/23,2.84
29/9/23,2.929
28/9/23,2.945
27/9/23,2.764
26/9/23,2.656
25/9/23,2.639
22/9/23,2.637
21/9/23,2.61
20/9/23,2.733
19/9/23,2.848
18/9/23,2.728
15/9/23,2.644
14/9/23,2.708
13/9/23,2.68
12/9/23,2.743
11/9/23,2.608
8/9/23,2.605
7/9/23,2.579
6/9/23,2.51
5/9/23,2.582
1/9/23,2.765
31/8/23,2.768
30/8/23,2.796
29/8/23,2.556
28/8/23,2.579
25/8/23,2.54
24/8/23,2.519
23/8/23,2.497
22/8/23,2.56
21/8/23,2.632
18/8/23,2.551
17/8/23,2.621
16/8/23,2.592
15/8/23,2.659
14/8/23,2.795
11/8/23,2.77
10/8/23,2.763
9/8/23,2.959
8/8/23,2.777
7/8/23,2.725
4/8/23,2.577
3/8/23,2.565
2/8/23,2.477
1/8/23,2.56
31/7/23,2.634
28/7/23,2.638
27/7/23,2.492
26/7/23,2.665
25/7/23,2.73
24/7/23,2.685
21/7/23,2.713
20/7/23,2.757
19/7/23,2.603
18/7/23,2.629
17/7/23,2.512
14/7/23,2.539
13/7/23,2.545
12/7/23,2.632
11/7/23,2.731
10/7/23,2.669
7/7/23,2.582
6/7/23,2.609
5/7/23,2.657
3/7/23,2.709
30/6/23,2.798
29/6/23,2.701
28/6/23,2.603
27/6/23,2.763
26/6/23,2.791
23/6/23,2.729
22/6/23,2.608
21/6/23,2.597
20/6/23,2.492
16/6/23,2.632
15/6/23,2.533
14/6/23,2.342
13/6/23,2.34
12/6/23,2.266
9/6/23,2.254
8/6/23,2.352
7/6/23,2.329
6/6/23,2.262
5/6/23,2.245
2/6/23,2.172
1/6/23,2.158
31/5/23,2.266
30/5/23,2.327
26/5/23,2.181
25/5/23,2.307
24/5/23,2.398
23/5/23,2.321
22/5/23,2.4
19/5/23,2.585
18/5/23,2.592
17/5/23,2.365
16/5/23,2.376
15/5/23,2.375
12/5/23,2.266
11/5/23,2.19
10/5/23,2.191
9/5/23,2.267
8/5/23,2.238
5/5/23,2.137
4/5/23,2.101
3/5/23,2.17
2/5/23,2.214
1/5/23,2.318
28/4/23,2.41
27/4/23,2.355
26/4/23,2.117
25/4/23,2.307
24/4/23,2.273
21/4/23,2.233
20/4/23,2.249
19/4/23,2.222
18/4/23,2.366
17/4/23,2.275
14/4/23,2.114
13/4/23,2.007
12/4/23,2.093
11/4/23,2.186
10/4/23,2.172
7/4/23,2.011
6/4/23,2.011
5/4/23,2.155
4/4/23,2.106
3/4/23,2.097
31/3/23,2.216
30/3/23,2.104
29/3/23,1.991
28/3/23,2.03
27/3/23,2.088
24/3/23,2.216
23/3/23,2.154
22/3/23,2.171
21/3/23,2.348
20/3/23,2.223
17/3/23,2.338
16/3/23,2.514
15/3/23,2.439
14/3/23,2.573
13/3/23,2.606
10/3/23,2.43
9/3/23,2.543
8/3/23,2.551
7/3/23,2.687
6/3/23,2.572
3/3/23,3.009
2/3/23,2.765
1/3/23,2.811
28/2/23,2.747
27/2/23,2.731
24/2/23,2.451
23/2/23,2.314
22/2/23,2.174
21/2/23,2.073
17/2/23,2.275
16/2/23,2.389
15/2/23,2.471
14/2/23,2.567
13/2/23,2.405
10/2/23,2.514
9/2/23,2.43
8/2/23,2.396
7/2/23,2.584
6/2/23,2.457
3/2/23,2.41
2/2/23,2.456
1/2/23,2.468
31/1/23,2.684
30/1/23,2.677
27/1/23,3.109
26/1/23,2.944
25/1/23,3.067
24/1/23,3.258
23/1/23,3.447
20/1/23,3.174
19/1/23,3.275
18/1/23,3.311
17/1/23,3.586
13/1/23,3.419
12/1/23,3.695
11/1/23,3.671
10/1/23,3.639
9/1/23,3.91
6/1/23,3.71
5/1/23,3.72
4/1/23,4.172
3/1/23,3.988
30/12/22,4.475
29/12/22,4.559
28/12/22,4.709
27/12/22,5.282
23/12/22,5.079
22/12/22,4.999
21/12/22,5.332
20/12/22,5.326
19/12/22,5.851
16/12/22,6.6
15/12/22,6.97
14/12/22,6.43
13/12/22,6.935
12/12/22,6.587
9/12/22,6.245
8/12/22,5.962
7/12/22,5.723
6/12/22,5.469
5/12/22,5.577
2/12/22,6.281
1/12/22,6.738
30/11/22,6.93
29/11/22,7.235
28/11/22,6.712
25/11/22,7.024
23/11/22,7.308
22/11/22,6.779
21/11/22,6.776
18/11/22,6.303
17/11/22,6.369
16/11/22,6.2
15/11/22,6.034
14/11/22,5.933
11/11/22,5.879
10/11/22,6.239
9/11/22,5.865
8/11/22,6.138
7/11/22,6.944
4/11/22,6.4
3/11/22,5.975
2/11/22,6.268
1/11/22,5.714
31/10/22,6.355
28/10/22,5.684
27/10/22,5.186
26/10/22,5.606
25/10/22,5.613
24/10/22,5.199
21/10/22,4.959
20/10/22,5.358
19/10/22,5.462
18/10/22,5.745
17/10/22,5.999
14/10/22,6.453
13/10/22,6.741
12/10/22,6.435
11/10/22,6.596
10/10/22,6.435
7/10/22,6.748
6/10/22,6.972
5/10/22,6.93
4/10/22,6.837
3/10/22,6.47
30/9/22,6.766
29/9/22,6.874
28/9/22,6.868
27/9/22,6.651
26/9/22,6.903
23/9/22,6.828
22/9/22,7.089
21/9/22,7.779
