Date,XB1 Comdty - Last Price
14/11/23,222.38
13/11/23,223.59
10/11/23,218.95
9/11/23,216.08
8/11/23,212.85
7/11/23,216.77
6/11/23,223.59
3/11/23,220.1
2/11/23,224.6
1/11/23,218.55
31/10/23,222.27
30/10/23,222.0
27/10/23,231.25
26/10/23,225.61
25/10/23,228.42
24/10/23,226.76
23/10/23,232.85
20/10/23,237.36
19/10/23,236.17
18/10/23,235.35
17/10/23,228.45
16/10/23,227.3
13/10/23,226.53
12/10/23,216.5
11/10/23,221.01
10/10/23,225.84
9/10/23,223.81
6/10/23,219.22
5/10/23,218.9
4/10/23,219.8
3/10/23,236.01
2/10/23,241.22
29/9/23,243.99
28/9/23,250.53
27/9/23,259.86
26/9/23,256.22
25/9/23,254.39
22/9/23,256.18
21/9/23,261.99
20/9/23,261.92
19/9/23,265.81
18/9/23,269.79
15/9/23,270.81
14/9/23,274.27
13/9/23,273.84
12/9/23,272.79
11/9/23,271.87
8/9/23,265.37
7/9/23,262.3
6/9/23,260.14
5/9/23,258.1
1/9/23,259.12
31/8/23,276.64
30/8/23,280.92
29/8/23,279.05
28/8/23,279.57
25/8/23,287.64
24/8/23,278.0
23/8/23,276.88
22/8/23,278.91
21/8/23,277.26
18/8/23,282.32
17/8/23,282.17
16/8/23,286.71
15/8/23,284.76
14/8/23,290.62
11/8/23,296.49
10/8/23,290.47
9/8/23,292.84
8/8/23,284.51
7/8/23,280.44
4/8/23,278.31
3/8/23,276.47
2/8/23,277.58
1/8/23,287.3
31/7/23,292.9
28/7/23,295.58
27/7/23,295.05
26/7/23,290.72
25/7/23,285.33
24/7/23,289.51
21/7/23,280.18
20/7/23,274.32
19/7/23,272.05
18/7/23,269.44
17/7/23,263.17
14/7/23,264.37
13/7/23,267.86
12/7/23,266.7
11/7/23,262.27
10/7/23,256.96
7/7/23,258.93
6/7/23,254.38
5/7/23,251.83
3/7/23,246.24
30/6/23,263.4
29/6/23,261.77
28/6/23,260.34
27/6/23,251.68
26/6/23,253.75
23/6/23,251.72
22/6/23,255.01
21/6/23,262.41
20/6/23,260.92
16/6/23,268.05
15/6/23,264.17
14/6/23,255.46
13/6/23,255.79
12/6/23,248.26
9/6/23,259.32
8/6/23,261.27
7/6/23,264.12
6/6/23,256.43
5/6/23,252.44
2/6/23,250.07
1/6/23,243.62
31/5/23,255.99
30/5/23,259.59
26/5/23,270.34
25/5/23,267.35
24/5/23,272.12
23/5/23,266.22
22/5/23,264.89
19/5/23,257.61
18/5/23,256.83
17/5/23,256.92
16/5/23,247.91
15/5/23,247.2
12/5/23,243.02
11/5/23,245.77
10/5/23,249.49
9/5/23,247.99
8/5/23,246.16
5/5/23,237.9
4/5/23,232.59
3/5/23,232.21
2/5/23,243.57
1/5/23,255.04
28/4/23,257.8
27/4/23,253.28
26/4/23,254.94
25/4/23,258.86
24/4/23,263.18
21/4/23,260.16
20/4/23,258.64
19/4/23,264.55
18/4/23,275.09
17/4/23,277.4
14/4/23,283.59
13/4/23,283.17
12/4/23,287.27
11/4/23,286.52
10/4/23,280.79
7/4/23,281.33
6/4/23,281.33
5/4/23,282.01
4/4/23,273.71
3/4/23,275.75
31/3/23,270.05
30/3/23,266.14
29/3/23,266.81
28/3/23,271.21
27/3/23,268.42
24/3/23,258.85
23/3/23,260.59
22/3/23,259.32
21/3/23,253.89
20/3/23,253.6
17/3/23,250.15
16/3/23,250.35
15/3/23,243.84
14/3/23,255.3
13/3/23,259.14
10/3/23,264.58
9/3/23,260.51
8/3/23,268.89
7/3/23,270.07
6/3/23,279.65
3/3/23,275.04
2/3/23,270.03
1/3/23,267.48
28/2/23,243.43
27/2/23,236.83
24/2/23,235.87
23/2/23,237.95
22/2/23,233.76
21/2/23,241.56
17/2/23,240.82
16/2/23,243.55
15/2/23,249.78
14/2/23,248.85
13/2/23,253.11
10/2/23,250.37
9/2/23,244.75
8/2/23,246.28
7/2/23,245.68
6/2/23,237.34
3/2/23,232.1
2/2/23,245.23
1/2/23,245.38
31/1/23,254.35
30/1/23,249.89
27/1/23,258.86
26/1/23,261.21
25/1/23,259.34
24/1/23,264.87
23/1/23,269.65
20/1/23,264.54
19/1/23,259.68
18/1/23,252.35
17/1/23,254.51
13/1/23,253.28
12/1/23,247.53
11/1/23,243.45
10/1/23,232.77
9/1/23,229.29
6/1/23,224.46
5/1/23,226.71
4/1/23,225.92
3/1/23,236.12
30/12/22,245.95
29/12/22,237.07
28/12/22,236.29
27/12/22,236.02
23/12/22,238.36
22/12/22,224.88
21/12/22,225.58
20/12/22,222.28
19/12/22,217.76
16/12/22,213.23
15/12/22,216.68
14/12/22,224.44
13/12/22,216.09
12/12/22,208.1
9/12/22,205.61
8/12/22,204.91
7/12/22,207.72
6/12/22,214.91
5/12/22,220.19
2/12/22,228.04
1/12/22,234.2
30/11/22,241.85
29/11/22,233.21
28/11/22,233.06
25/11/22,232.82
23/11/22,247.44
22/11/22,254.05
21/11/22,243.71
18/11/22,242.08
