Date,HO1 Comdty - Last Price
14/11/23,283.85
13/11/23,283.93
10/11/23,274.31
9/11/23,271.91
8/11/23,274.92
7/11/23,283.84
6/11/23,295.24
3/11/23,292.38
2/11/23,302.55
1/11/23,296.15
31/10/23,299.1
30/10/23,296.63
27/10/23,305.19
26/10/23,304.39
25/10/23,303.05
24/10/23,304.49
23/10/23,309.55
20/10/23,315.66
19/10/23,317.3
18/10/23,313.93
17/10/23,317.67
16/10/23,314.92
13/10/23,321.17
12/10/23,304.49
11/10/23,299.85
10/10/23,302.01
9/10/23,296.66
6/10/23,290.08
5/10/23,286.87
4/10/23,301.78
3/10/23,319.54
2/10/23,322.25
29/9/23,336.22
28/9/23,331.8
27/9/23,331.47
26/9/23,322.38
25/9/23,326.22
22/9/23,330.62
21/9/23,336.8
20/9/23,332.68
19/9/23,337.39
18/9/23,328.83
15/9/23,338.34
14/9/23,348.15
13/9/23,343.54
12/9/23,332.83
11/9/23,336.22
8/9/23,329.91
7/9/23,321.23
6/9/23,319.27
5/9/23,321.96
1/9/23,310.5
31/8/23,314.26
30/8/23,309.62
29/8/23,320.95
28/8/23,320.37
25/8/23,330.75
24/8/23,315.64
23/8/23,312.91
22/8/23,313.88
21/8/23,311.62
18/8/23,315.97
17/8/23,309.38
16/8/23,302.09
15/8/23,302.8
14/8/23,308.83
11/8/23,312.15
10/8/23,315.33
9/8/23,320.7
8/8/23,308.56
7/8/23,301.55
4/8/23,306.22
3/8/23,307.49
2/8/23,300.43
1/8/23,302.34
31/7/23,299.09
28/7/23,295.86
27/7/23,291.69
26/7/23,284.29
25/7/23,277.76
24/7/23,277.05
21/7/23,274.57
20/7/23,266.44
19/7/23,264.18
18/7/23,259.94
17/7/23,256.42
14/7/23,259.79
13/7/23,261.04
12/7/23,259.96
11/7/23,258.37
10/7/23,255.32
7/7/23,255.91
6/7/23,247.94
5/7/23,249.33
3/7/23,237.73
30/6/23,244.82
29/6/23,241.56
28/6/23,240.67
27/6/23,239.9
26/6/23,243.88
23/6/23,240.71
22/6/23,246.55
21/6/23,256.42
20/6/23,247.54
16/6/23,255.14
15/6/23,247.96
14/6/23,235.77
13/6/23,239.55
12/6/23,230.91
9/6/23,236.1
8/6/23,238.98
7/6/23,240.18
6/6/23,236.78
5/6/23,237.75
2/6/23,235.69
1/6/23,231.47
31/5/23,225.96
30/5/23,228.08
26/5/23,236.93
25/5/23,234.62
24/5/23,241.37
23/5/23,236.17
22/5/23,236.64
19/5/23,236.22
18/5/23,240.26
17/5/23,242.26
16/5/23,236.39
15/5/23,237.8
12/5/23,230.55
11/5/23,234.95
10/5/23,239.34
9/5/23,239.02
8/5/23,237.77
5/5/23,231.47
4/5/23,223.87
3/5/23,223.23
2/5/23,228.92
1/5/23,238.23
28/4/23,237.87
27/4/23,235.42
26/4/23,237.3
25/4/23,245.11
24/4/23,253.1
21/4/23,248.86
20/4/23,249.49
19/4/23,255.77
18/4/23,259.99
17/4/23,261.47
14/4/23,263.92
13/4/23,267.28
12/4/23,270.31
11/4/23,266.82
10/4/23,268.14
7/4/23,266.05
6/4/23,266.05
5/4/23,273.1
4/4/23,266.67
3/4/23,266.26
31/3/23,267.63
30/3/23,262.37
29/3/23,265.81
28/3/23,276.96
27/3/23,277.04
24/3/23,269.52
23/3/23,268.47
22/3/23,274.03
21/3/23,269.02
20/3/23,268.71
17/3/23,267.87
16/3/23,264.35
15/3/23,260.49
14/3/23,271.44
13/3/23,276.15
10/3/23,277.29
9/3/23,266.89
8/3/23,274.19
7/3/23,279.75
6/3/23,288.66
3/3/23,291.31
2/3/23,286.62
1/3/23,287.38
28/2/23,282.09
27/2/23,281.98
24/2/23,279.62
23/2/23,270.81
22/2/23,271.48
21/2/23,279.19
17/2/23,271.21
16/2/23,281.08
15/2/23,284.44
14/2/23,294.01
13/2/23,290.57
10/2/23,286.46
9/2/23,281.54
8/2/23,289.33
7/2/23,290.44
6/2/23,276.87
3/2/23,277.53
2/2/23,289.67
1/2/23,295.11
31/1/23,318.23
30/1/23,311.08
27/1/23,326.55
26/1/23,339.65
25/1/23,336.13
24/1/23,342.72
23/1/23,355.09
20/1/23,346.68
19/1/23,337.59
18/1/23,326.3
17/1/23,325.1
13/1/23,325.59
12/1/23,321.9
11/1/23,321.79
10/1/23,313.57
9/1/23,303.6
6/1/23,300.45
5/1/23,297.23
4/1/23,297.19
3/1/23,308.65
30/12/22,336.22
29/12/22,331.3
28/12/22,337.78
27/12/22,335.37
23/12/22,326.61
22/12/22,313.14
21/12/22,313.95
20/12/22,305.89
19/12/22,305.35
16/12/22,311.99
15/12/22,328.34
14/12/22,327.68
13/12/22,309.22
12/12/22,296.85
9/12/22,279.37
8/12/22,287.98
7/12/22,278.05
6/12/22,291.55
5/12/22,299.98
2/12/22,316.85
1/12/22,326.24
30/11/22,336.29
29/11/22,329.59
28/11/22,321.54
25/11/22,323.91
23/11/22,335.93
22/11/22,347.13
21/11/22,349.73
18/11/22,351.81
17/11/22,352.48
16/11/22,361.36
15/11/22,364.13
14/11/22,354.4
11/11/22,355.53
10/11/22,356.94
9/11/22,365.63
8/11/22,377.07
7/11/22,378.11
4/11/22,391.48
3/11/22,386.53
2/11/22,367.74
1/11/22,362.11
31/10/22,419.09
28/10/22,454.98
27/10/22,433.39
26/10/22,412.01
25/10/22,396.72
24/10/22,392.01
21/10/22,383.23
20/10/22,375.68
19/10/22,390.43
18/10/22,399.35
17/10/22,408.52
14/10/22,398.02
13/10/22,409.48
12/10/22,393.28
11/10/22,393.08
10/10/22,391.47
7/10/22,401.87
6/10/22,386.49
5/10/22,368.69
4/10/22,353.58
3/10/22,336.91
30/9/22,336.9
29/9/22,341.46
28/9/22,344.94
27/9/22,325.99
26/9/22,312.91
23/9/22,323.71
22/9/22,341.15
21/9/22,333.38
20/9/22,337.22
19/9/22,331.08
16/9/22,317.25
15/9/22,320.52
14/9/22,337.89
13/9/22,354.13
12/9/22,360.31
9/9/22,357.87
8/9/22,354.01
7/9/22,358.6
6/9/22,357.38
2/9/22,357.8
1/9/22,356.12
31/8/22,371.54
30/8/22,381.71
29/8/22,390.99
26/8/22,400.76
25/8/22,394.91
