Date,SI1 Comdty - Last Price
14/11/23,23.15
13/11/23,22.358
10/11/23,22.281
9/11/23,22.905
8/11/23,22.728
7/11/23,22.589
6/11/23,23.234
3/11/23,23.285
2/11/23,22.846
1/11/23,22.79
31/10/23,22.952
30/10/23,23.396
27/10/23,22.887
26/10/23,22.908
25/10/23,23.007
24/10/23,23.116
23/10/23,23.21
20/10/23,23.504
19/10/23,23.031
18/10/23,23.099
17/10/23,23.024
16/10/23,22.765
13/10/23,22.895
12/10/23,21.959
11/10/23,22.133
10/10/23,21.953
9/10/23,21.924
6/10/23,21.723
5/10/23,21.019
4/10/23,21.146
3/10/23,21.377
2/10/23,21.421
29/9/23,22.45
28/9/23,22.741
27/9/23,22.477
26/9/23,22.95
25/9/23,23.145
22/9/23,23.596
21/9/23,23.444
20/9/23,23.579
19/9/23,23.194
18/9/23,23.232
15/9/23,23.126
14/9/23,22.748
13/9/23,22.912
12/9/23,23.127
11/9/23,23.103
8/9/23,22.892
7/9/23,22.95
6/9/23,23.206
5/9/23,23.558
1/9/23,24.232
31/8/23,24.472
30/8/23,24.734
29/8/23,24.788
28/8/23,24.252
25/8/23,24.234
24/8/23,24.23
23/8/23,24.392
22/8/23,23.45
21/8/23,23.34
18/8/23,22.733
17/8/23,22.715
16/8/23,22.535
15/8/23,22.656
14/8/23,22.708
11/8/23,22.743
10/8/23,22.821
9/8/23,22.731
8/8/23,22.807
7/8/23,23.232
4/8/23,23.716
3/8/23,23.697
2/8/23,23.872
1/8/23,24.326
31/7/23,24.972
28/7/23,24.495
27/7/23,24.236
26/7/23,24.825
25/7/23,24.68
24/7/23,24.436
21/7/23,24.698
20/7/23,24.805
19/7/23,25.219
18/7/23,25.084
17/7/23,24.844
14/7/23,25.014
13/7/23,24.768
12/7/23,24.119
11/7/23,23.086
10/7/23,23.151
7/7/23,23.092
6/7/23,22.686
5/7/23,23.197
3/7/23,22.896
30/6/23,22.81
29/6/23,22.591
28/6/23,22.889
27/6/23,22.96
26/6/23,22.826
23/6/23,22.354
22/6/23,22.467
21/6/23,22.81
20/6/23,23.234
16/6/23,24.126
15/6/23,23.947
14/6/23,24.105
13/6/23,23.822
12/6/23,24.059
9/6/23,24.41
8/6/23,24.348
7/6/23,23.529
6/6/23,23.67
5/6/23,23.635
2/6/23,23.747
1/6/23,23.987
31/5/23,23.587
30/5/23,23.239
26/5/23,23.24
25/5/23,22.786
24/5/23,23.115
23/5/23,23.474
22/5/23,23.715
19/5/23,23.92
18/5/23,23.495
17/5/23,23.752
16/5/23,23.737
15/5/23,24.127
12/5/23,23.992
11/5/23,24.255
10/5/23,25.461
9/5/23,25.698
8/5/23,25.636
5/5/23,25.743
4/5/23,26.035
3/5/23,25.476
2/5/23,25.404
1/5/23,25.009
28/4/23,24.999
27/4/23,24.983
26/4/23,24.876
25/4/23,24.882
24/4/23,25.311
21/4/23,25.058
20/4/23,25.373
19/4/23,25.371
18/4/23,25.263
17/4/23,25.088
14/4/23,25.46
13/4/23,25.925
12/4/23,25.458
11/4/23,25.186
10/4/23,24.912
7/4/23,25.093
6/4/23,25.093
5/4/23,25.037
4/4/23,25.101
3/4/23,24.021
31/3/23,24.156
30/3/23,23.989
29/3/23,23.376
28/3/23,23.324
27/3/23,23.054
24/3/23,23.247
23/3/23,23.144
22/3/23,22.675
21/3/23,22.324
20/3/23,22.533
17/3/23,22.351
16/3/23,21.588
15/3/23,21.774
14/3/23,21.929
13/3/23,21.793
10/3/23,20.375
9/3/23,20.025
8/3/23,20.005
7/3/23,20.054
6/3/23,20.984
3/3/23,21.093
2/3/23,20.766
1/3/23,20.959
28/2/23,20.961
27/2/23,20.67
24/2/23,20.81
23/2/23,21.306
22/2/23,21.677
21/2/23,21.89
17/2/23,21.715
16/2/23,21.71
15/2/23,21.572
14/2/23,21.873
13/2/23,21.852
10/2/23,22.075
9/2/23,22.143
8/2/23,22.42
7/2/23,22.177
6/2/23,22.237
3/2/23,22.405
2/2/23,23.615
1/2/23,23.609
31/1/23,23.836
30/1/23,23.733
27/1/23,23.622
26/1/23,24.02
25/1/23,23.941
24/1/23,23.749
23/1/23,23.554
20/1/23,23.935
19/1/23,23.87
18/1/23,23.647
17/1/23,24.068
13/1/23,24.372
12/1/23,24.004
11/1/23,23.481
10/1/23,23.665
9/1/23,23.871
6/1/23,23.982
5/1/23,23.424
4/1/23,23.964
3/1/23,24.236
30/12/22,24.04
29/12/22,24.25
28/12/22,23.663
27/12/22,24.04
23/12/22,23.764
22/12/22,23.476
21/12/22,24.035
20/12/22,24.094
19/12/22,23.029
16/12/22,23.151
15/12/22,23.128
14/12/22,23.946
13/12/22,23.801
12/12/22,23.22
9/12/22,23.535
8/12/22,23.063
7/12/22,22.71
6/12/22,22.123
5/12/22,22.199
2/12/22,23.038
1/12/22,22.637
30/11/22,21.55
29/11/22,21.204
28/11/22,20.915
25/11/22,21.43
23/11/22,21.367
22/11/22,21.049
21/11/22,20.872
18/11/22,20.997
17/11/22,20.975
16/11/22,21.524
15/11/22,21.518
14/11/22,22.113
11/11/22,21.667
10/11/22,21.702
9/11/22,21.327
8/11/22,21.502
7/11/22,20.919
4/11/22,20.784
3/11/22,19.43
2/11/22,19.594
1/11/22,19.667
31/10/22,19.119
28/10/22,19.147
27/10/22,19.494
26/10/22,19.486
25/10/22,19.349
24/10/22,19.189
21/10/22,19.066
20/10/22,18.689
19/10/22,18.359
18/10/22,18.6
17/10/22,18.719
14/10/22,18.071
13/10/22,18.918
12/10/22,18.938
11/10/22,19.487
10/10/22,19.615
7/10/22,20.255
6/10/22,20.66
5/10/22,20.544
4/10/22,21.099
3/10/22,20.589
30/9/22,19.039
29/9/22,18.712
28/9/22,18.796
27/9/22,18.257
26/9/22,18.406
23/9/22,18.841
22/9/22,19.548
21/9/22,19.411
20/9/22,19.102
19/9/22,19.273
16/9/22,19.296
15/9/22,19.175
14/9/22,19.471
13/9/22,19.39
12/9/22,19.755
9/9/22,18.658
8/9/22,18.33
7/9/22,18.137
6/9/22,17.795
2/9/22,17.776
1/9/22,17.551
31/8/22,17.762
30/8/22,18.159
29/8/22,18.557
26/8/22,18.746
25/8/22,19.12
24/8/22,18.907
23/8/22,19.026
22/8/22,18.878
19/8/22,19.069
18/8/22,19.464
17/8/22,19.731
16/8/22,20.085
15/8/22,20.272
12/8/22,20.698
11/8/22,20.349
10/8/22,20.742
9/8/22,20.482
8/8/22,20.614
5/8/22,19.842
4/8/22,20.122
3/8/22,19.894
2/8/22,20.139
1/8/22,20.362
29/7/22,20.197
28/7/22,19.868
27/7/22,18.553
26/7/22,18.487
25/7/22,18.294
22/7/22,18.585
21/7/22,18.687
20/7/22,18.639
19/7/22,18.67
18/7/22,18.791
15/7/22,18.548
14/7/22,18.169
13/7/22,19.138
12/7/22,18.899
11/7/22,19.067
8/7/22,19.167
7/7/22,19.122
6/7/22,19.085
5/7/22,19.052
1/7/22,19.597
30/6/22,20.282
29/6/22,20.668
28/6/22,20.806
27/6/22,21.168
24/6/22,21.125
23/6/22,21.042
22/6/22,21.421
21/6/22,21.768
17/6/22,21.587
16/6/22,21.885
15/6/22,21.42
14/6/22,20.954
13/6/22,21.255
10/6/22,21.931
9/6/22,21.817
8/6/22,22.094
7/6/22,22.178
6/6/22,22.092
3/6/22,21.908
2/6/22,22.275
1/6/22,21.915
31/5/22,21.688
27/5/22,22.096
26/5/22,21.941
25/5/22,21.86
24/5/22,22.063
23/5/22,21.723
20/5/22,21.669
19/5/22,21.898
18/5/22,21.533
17/5/22,21.737
16/5/22,21.535
13/5/22,20.984
12/5/22,20.757
11/5/22,21.55
10/5/22,21.39
9/5/22,21.782
6/5/22,22.325
5/5/22,22.4
4/5/22,22.362
3/5/22,22.621
2/5/22,22.544
29/4/22,23.04
28/4/22,23.129
27/4/22,23.46
26/4/22,23.544
25/4/22,23.67
22/4/22,24.259
21/4/22,24.621
20/4/22,25.271
19/4/22,25.391
18/4/22,26.15
14/4/22,25.7
13/4/22,26.03
12/4/22,25.735
11/4/22,24.987
8/4/22,24.823
7/4/22,24.735
6/4/22,24.458
5/4/22,24.534
4/4/22,24.59
1/4/22,24.654
31/3/22,25.133
30/3/22,25.113
29/3/22,24.716
28/3/22,25.176
25/3/22,25.595
24/3/22,25.9
23/3/22,25.17
22/3/22,24.885
21/3/22,25.282
18/3/22,25.055
17/3/22,25.584
16/3/22,24.67
15/3/22,25.123
14/3/22,25.244
11/3/22,26.106
10/3/22,26.202
9/3/22,25.757
8/3/22,26.888
7/3/22,25.713
4/3/22,25.782
3/3/22,25.205
2/3/22,25.183
1/3/22,25.534
28/2/22,24.361
25/2/22,23.997
24/2/22,24.687
23/2/22,24.553
22/2/22,24.311
18/2/22,23.992
17/2/22,23.875
16/2/22,23.605
15/2/22,23.342
14/2/22,23.848
11/2/22,23.369
10/2/22,23.522
9/2/22,23.341
8/2/22,23.2
7/2/22,23.076
4/2/22,22.475
3/2/22,22.375
2/2/22,22.707
1/2/22,22.595
31/1/22,22.393
28/1/22,22.301
27/1/22,22.676
26/1/22,23.807
25/1/22,23.896
24/1/22,23.8
21/1/22,24.32
20/1/22,24.716
19/1/22,24.231
18/1/22,23.492
14/1/22,22.918
13/1/22,23.162
12/1/22,23.207
11/1/22,22.812
10/1/22,22.462
7/1/22,22.409
6/1/22,22.19
5/1/22,23.17
4/1/22,23.056
3/1/22,22.81
31/12/21,23.352
30/12/21,23.06
29/12/21,22.848
28/12/21,23.111
27/12/21,22.979
23/12/21,22.931
22/12/21,22.792
21/12/21,22.502
20/12/21,22.275
17/12/21,22.507
16/12/21,22.455
15/12/21,21.508
14/12/21,21.887
13/12/21,22.29
10/12/21,22.16
9/12/21,21.974
8/12/21,22.39
7/12/21,22.487
6/12/21,22.228
3/12/21,22.445
2/12/21,22.28
1/12/21,22.299
30/11/21,22.765
29/11/21,22.799
26/11/21,23.107
24/11/21,23.496
23/11/21,23.435
22/11/21,24.297
19/11/21,24.781
18/11/21,24.9
17/11/21,25.167
16/11/21,24.944
15/11/21,25.105
12/11/21,25.346
11/11/21,25.301
10/11/21,24.772
9/11/21,24.318
8/11/21,24.542
5/11/21,24.157
4/11/21,23.911
3/11/21,23.231
2/11/21,23.507
1/11/21,24.073
29/10/21,23.949
28/10/21,24.12
27/10/21,24.191
26/10/21,24.088
25/10/21,24.592
22/10/21,24.449
21/10/21,24.17
20/10/21,24.445
19/10/21,23.883
18/10/21,23.264
15/10/21,23.349
14/10/21,23.477
13/10/21,23.17
12/10/21,22.514
11/10/21,22.665
8/10/21,22.705
7/10/21,22.658
6/10/21,22.532
5/10/21,22.608
4/10/21,22.644
1/10/21,22.536
30/9/21,22.047
29/9/21,21.485
28/9/21,22.43
27/9/21,22.657
24/9/21,22.388
23/9/21,22.642
22/9/21,22.869
21/9/21,22.573
20/9/21,22.163
17/9/21,22.295
16/9/21,22.752
15/9/21,23.759
14/9/21,23.842
13/9/21,23.753
10/9/21,23.855
9/9/21,24.133
8/9/21,24.012
7/9/21,24.334
3/9/21,24.762
2/9/21,23.875
1/9/21,24.177
31/8/21,23.96
30/8/21,23.96
27/8/21,24.062
26/8/21,23.55
25/8/21,23.775
24/8/21,23.894
23/8/21,23.656
20/8/21,23.112
19/8/21,23.23
18/8/21,23.422
17/8/21,23.659
16/8/21,23.791
13/8/21,23.779
12/8/21,23.116
11/8/21,23.488
10/8/21,23.392
9/8/21,23.269
6/8/21,24.326
5/8/21,25.292
4/8/21,25.461
3/8/21,25.582
2/8/21,25.575
30/7/21,25.547
29/7/21,25.782
28/7/21,24.856
27/7/21,24.632
26/7/21,25.295
23/7/21,25.218
22/7/21,25.365
21/7/21,25.238
20/7/21,24.977
19/7/21,25.126
16/7/21,25.777
15/7/21,26.375
14/7/21,26.246
13/7/21,26.115
12/7/21,26.217
9/7/21,26.211
8/7/21,25.967
7/7/21,26.11
6/7/21,26.154
2/7/21,26.481
1/7/21,26.075
30/6/21,26.165
29/6/21,25.872
28/6/21,26.223
25/6/21,26.087
24/6/21,26.05
23/6/21,26.111
22/6/21,25.857
21/6/21,26.025
18/6/21,25.969
17/6/21,25.856
16/6/21,27.812
15/6/21,27.693
14/6/21,28.039
11/6/21,28.146
10/6/21,28.031
9/6/21,28.002
8/6/21,27.731
7/6/21,28.018
4/6/21,27.896
3/6/21,27.477
2/6/21,28.204
1/6/21,28.102
28/5/21,28.014
27/5/21,27.94
26/5/21,27.853
25/5/21,28.037
24/5/21,27.887
21/5/21,27.473
20/5/21,28.052
19/5/21,28.008
18/5/21,28.314
17/5/21,28.26
14/5/21,27.353
13/5/21,27.044
12/5/21,27.231
11/5/21,27.657
10/5/21,27.479
7/5/21,27.462
6/5/21,27.462
5/5/21,26.502
4/5/21,26.539
3/5/21,26.943
30/4/21,25.853
29/4/21,26.053
28/4/21,26.085
27/4/21,26.41
26/4/21,26.209
23/4/21,26.075
22/4/21,26.18
21/4/21,26.57
20/4/21,25.84
19/4/21,25.837
16/4/21,26.105
15/4/21,25.964
14/4/21,25.524
13/4/21,25.426
12/4/21,24.867
9/4/21,25.325
8/4/21,25.585
7/4/21,25.247
6/4/21,25.227
5/4/21,24.78
2/4/21,24.948
1/4/21,24.948
31/3/21,24.532
30/3/21,24.137
29/3/21,24.747
26/3/21,25.092
25/3/21,25.022
24/3/21,25.201
23/3/21,25.2
22/3/21,25.741
19/3/21,26.292
18/3/21,26.321
17/3/21,26.03
16/3/21,25.974
15/3/21,26.253
12/3/21,25.88
11/3/21,26.162
10/3/21,26.102
9/3/21,26.148
8/3/21,25.24
5/3/21,25.257
4/3/21,25.434
3/3/21,26.357
2/3/21,26.85
1/3/21,26.647
26/2/21,26.402
25/2/21,27.637
24/2/21,27.859
23/2/21,27.688
22/2/21,28.085
19/2/21,27.254
18/2/21,27.078
17/2/21,27.315
16/2/21,27.325
12/2/21,27.328
11/2/21,27.047
10/2/21,27.078
9/2/21,27.402
8/2/21,27.576
