Date,GC1 Comdty - Last Price
14/11/23,1967.0
13/11/23,1950.2
10/11/23,1937.7
9/11/23,1969.8
8/11/23,1957.8
7/11/23,1973.5
6/11/23,1988.6
3/11/23,1999.2
2/11/23,1993.5
1/11/23,1987.5
31/10/23,1994.3
30/10/23,2005.6
27/10/23,1988.6
26/10/23,1987.2
25/10/23,1984.1
24/10/23,1975.0
23/10/23,1976.3
20/10/23,1982.5
19/10/23,1968.4
18/10/23,1955.3
17/10/23,1922.7
16/10/23,1921.1
13/10/23,1927.4
12/10/23,1869.3
11/10/23,1872.8
10/10/23,1861.0
9/10/23,1849.5
6/10/23,1830.2
5/10/23,1816.6
4/10/23,1818.5
3/10/23,1824.6
2/10/23,1830.0
29/9/23,1848.1
28/9/23,1860.4
27/9/23,1872.3
26/9/23,1901.6
25/9/23,1918.2
22/9/23,1927.2
21/9/23,1921.2
20/9/23,1948.6
19/9/23,1935.3
18/9/23,1935.2
15/9/23,1927.9
14/9/23,1914.4
13/9/23,1914.4
12/9/23,1917.2
11/9/23,1929.2
8/9/23,1924.6
7/9/23,1924.1
6/9/23,1925.8
5/9/23,1934.3
1/9/23,1948.4
31/8/23,1947.0
30/8/23,1954.0
29/8/23,1936.5
28/8/23,1917.9
25/8/23,1911.1
24/8/23,1918.2
23/8/23,1918.5
22/8/23,1896.4
21/8/23,1893.3
18/8/23,1886.1
17/8/23,1884.1
16/8/23,1896.1
15/8/23,1902.5
14/8/23,1910.6
11/8/23,1912.9
10/8/23,1914.4
9/8/23,1915.4
8/8/23,1924.1
7/8/23,1933.5
4/8/23,1939.6
3/8/23,1932.0
2/8/23,1937.4
1/8/23,1940.7
31/7/23,1970.5
28/7/23,1960.4
27/7/23,1945.7
26/7/23,1970.1
25/7/23,1963.7
24/7/23,1962.2
21/7/23,1966.6
20/7/23,1970.9
19/7/23,1980.8
18/7/23,1980.8
17/7/23,1956.4
14/7/23,1964.4
13/7/23,1963.8
12/7/23,1961.7
11/7/23,1937.1
10/7/23,1931.0
7/7/23,1932.5
6/7/23,1915.4
5/7/23,1927.1
3/7/23,1929.5
30/6/23,1929.4
29/6/23,1917.9
28/6/23,1912.3
27/6/23,1914.0
26/6/23,1923.7
23/6/23,1919.1
22/6/23,1912.7
21/6/23,1933.3
20/6/23,1935.5
16/6/23,1958.4
15/6/23,1957.8
14/6/23,1955.3
13/6/23,1944.6
12/6/23,1955.3
9/6/23,1962.2
8/6/23,1963.6
7/6/23,1942.7
6/6/23,1965.5
5/6/23,1958.0
2/6/23,1952.4
1/6/23,1978.0
31/5/23,1963.9
30/5/23,1958.0
26/5/23,1944.3
25/5/23,1943.7
24/5/23,1964.6
23/5/23,1974.5
22/5/23,1977.2
19/5/23,1981.6
18/5/23,1959.8
17/5/23,1984.9
16/5/23,1993.0
15/5/23,2022.7
12/5/23,2019.8
11/5/23,2020.5
10/5/23,2037.1
9/5/23,2042.9
8/5/23,2033.2
5/5/23,2024.8
4/5/23,2055.7
3/5/23,2037.0
2/5/23,2023.3
1/5/23,1992.2
28/4/23,1999.1
27/4/23,1999.0
26/4/23,1985.7
25/4/23,1994.0
24/4/23,1989.1
21/4/23,1979.5
20/4/23,2007.6
19/4/23,1995.2
18/4/23,2007.4
17/4/23,1994.2
14/4/23,2002.2
13/4/23,2041.3
12/4/23,2010.9
11/4/23,2004.8
10/4/23,1989.1
7/4/23,2011.9
6/4/23,2011.9
5/4/23,2020.9
4/4/23,2022.2
3/4/23,1983.9
31/3/23,1969.0
30/3/23,1980.3
29/3/23,1966.9
28/3/23,1973.5
27/3/23,1953.8
24/3/23,1983.8
23/3/23,1995.9
22/3/23,1949.6
21/3/23,1941.1
20/3/23,1982.8
17/3/23,1973.5
16/3/23,1923.0
15/3/23,1931.3
14/3/23,1910.9
13/3/23,1916.5
10/3/23,1867.2
9/3/23,1834.6
8/3/23,1818.6
7/3/23,1820.0
6/3/23,1854.6
3/3/23,1854.6
2/3/23,1840.5
1/3/23,1845.4
28/2/23,1836.7
27/2/23,1824.9
24/2/23,1808.8
23/2/23,1818.0
22/2/23,1832.0
21/2/23,1833.0
17/2/23,1840.4
16/2/23,1842.0
15/2/23,1834.2
14/2/23,1854.0
13/2/23,1851.9
10/2/23,1862.8
9/2/23,1866.2
8/2/23,1877.4
7/2/23,1871.7
6/2/23,1866.2
3/2/23,1862.9
2/2/23,1916.3
1/2/23,1927.8
31/1/23,1929.5
30/1/23,1922.9
27/1/23,1929.4
26/1/23,1930.0
25/1/23,1942.6
24/1/23,1935.4
23/1/23,1928.6
20/1/23,1928.2
19/1/23,1923.9
18/1/23,1907.0
17/1/23,1909.9
13/1/23,1921.7
12/1/23,1898.8
11/1/23,1878.9
10/1/23,1876.5
9/1/23,1877.8
6/1/23,1869.7
5/1/23,1840.6
4/1/23,1859.0
3/1/23,1846.1
30/12/22,1826.2
29/12/22,1826.0
28/12/22,1807.9
27/12/22,1814.8
23/12/22,1795.9
22/12/22,1787.0
21/12/22,1815.9
20/12/22,1815.9
19/12/22,1787.7
16/12/22,1790.0
15/12/22,1777.2
14/12/22,1807.5
13/12/22,1813.9
12/12/22,1780.5
9/12/22,1798.1
8/12/22,1788.7
7/12/22,1785.5
6/12/22,1769.3
5/12/22,1767.4
2/12/22,1795.9
1/12/22,1801.1
30/11/22,1746.0
29/11/22,1748.4
28/11/22,1740.3
25/11/22,1754.0
23/11/22,1745.6
22/11/22,1739.9
21/11/22,1739.6
18/11/22,1754.4
17/11/22,1763.0
16/11/22,1775.8
15/11/22,1776.8
14/11/22,1776.9
11/11/22,1769.4
10/11/22,1753.7
9/11/22,1713.7
8/11/22,1716.0
7/11/22,1680.5
4/11/22,1676.6
3/11/22,1630.9
2/11/22,1650.0
1/11/22,1649.7
31/10/22,1640.7
28/10/22,1644.8
27/10/22,1660.7
26/10/22,1664.0
25/10/22,1652.8
24/10/22,1648.7
21/10/22,1651.0
20/10/22,1630.8
19/10/22,1627.5
18/10/22,1649.0
17/10/22,1657.0
14/10/22,1641.7
13/10/22,1670.0
12/10/22,1670.3
11/10/22,1678.7
10/10/22,1667.3
7/10/22,1700.5
6/10/22,1711.7
5/10/22,1711.4
4/10/22,1721.1
3/10/22,1692.9
30/9/22,1662.4
29/9/22,1658.5
28/9/22,1660.3
27/9/22,1626.5
26/9/22,1623.6
23/9/22,1645.3
22/9/22,1671.4
21/9/22,1665.8
20/9/22,1661.0
19/9/22,1667.6
16/9/22,1672.8
15/9/22,1666.8
14/9/22,1698.2
13/9/22,1707.1
12/9/22,1730.8
9/9/22,1718.8
8/9/22,1710.6
7/9/22,1718.2
6/9/22,1703.4
2/9/22,1713.0
1/9/22,1699.6
31/8/22,1716.9
30/8/22,1726.9
29/8/22,1736.6
26/8/22,1736.1
25/8/22,1757.7
24/8/22,1747.8
23/8/22,1746.8
22/8/22,1734.0
19/8/22,1747.6
18/8/22,1755.3
17/8/22,1760.3
16/8/22,1773.2
15/8/22,1781.4
12/8/22,1798.6
11/8/22,1789.7
10/8/22,1795.6
9/8/22,1794.0
8/8/22,1786.8
5/8/22,1772.9
4/8/22,1788.5
3/8/22,1758.0
2/8/22,1771.1
1/8/22,1769.0
29/7/22,1762.9
28/7/22,1750.3
27/7/22,1719.1
26/7/22,1717.7
25/7/22,1719.1
22/7/22,1727.4
21/7/22,1713.4
20/7/22,1700.2
19/7/22,1710.7
18/7/22,1710.2
15/7/22,1703.6
14/7/22,1705.8
13/7/22,1735.5
12/7/22,1724.8
11/7/22,1731.7
8/7/22,1742.3
7/7/22,1739.7
6/7/22,1736.5
5/7/22,1763.9
1/7/22,1801.5
30/6/22,1807.3
29/6/22,1817.5
28/6/22,1817.5
27/6/22,1820.9
24/6/22,1826.5
23/6/22,1825.7
22/6/22,1834.3
21/6/22,1834.6
17/6/22,1835.6
16/6/22,1845.7
15/6/22,1815.3
14/6/22,1809.5
13/6/22,1828.0
10/6/22,1871.5
9/6/22,1848.8
8/6/22,1851.9
7/6/22,1847.5
6/6/22,1839.2
3/6/22,1845.4
2/6/22,1866.5
1/6/22,1843.3
31/5/22,1842.7
27/5/22,1851.3
26/5/22,1847.6
25/5/22,1846.3
24/5/22,1865.4
23/5/22,1847.8
20/5/22,1842.1
19/5/22,1841.2
18/5/22,1815.9
17/5/22,1818.9
16/5/22,1814.0
13/5/22,1808.2
12/5/22,1824.6
11/5/22,1853.7
10/5/22,1841.0
9/5/22,1858.6
6/5/22,1882.8
5/5/22,1875.7
4/5/22,1868.8
3/5/22,1870.6
2/5/22,1863.6
29/4/22,1911.7
28/4/22,1891.3
27/4/22,1885.9
26/4/22,1901.4
25/4/22,1893.2
22/4/22,1931.0
21/4/22,1944.9
20/4/22,1952.3
19/4/22,1955.7
18/4/22,1982.9
14/4/22,1970.9
13/4/22,1981.0
12/4/22,1972.1
11/4/22,1944.3
8/4/22,1941.6
7/4/22,1933.8
6/4/22,1918.4
5/4/22,1922.9
4/4/22,1929.2
1/4/22,1919.1
31/3/22,1949.2
30/3/22,1933.5
29/3/22,1912.2
28/3/22,1939.8
25/3/22,1954.2
24/3/22,1962.2
23/3/22,1937.3
22/3/22,1921.5
21/3/22,1929.5
18/3/22,1929.3
17/3/22,1943.2
16/3/22,1909.2
15/3/22,1929.7
14/3/22,1960.8
11/3/22,1985.0
10/3/22,2000.4
9/3/22,1988.2
8/3/22,2043.3
7/3/22,1995.9
