Date,HG1 Comdty - Last Price
14/11/23,367.7
13/11/23,366.6
10/11/23,358.7
9/11/23,364.05
8/11/23,363.8
7/11/23,367.9
6/11/23,371.9
3/11/23,368.15
2/11/23,367.25
1/11/23,364.9
31/10/23,364.9
30/10/23,365.85
27/10/23,364.6
26/10/23,358.45
25/10/23,359.1
24/10/23,362.4
23/10/23,358.65
20/10/23,356.3
19/10/23,360.1
18/10/23,358.7
17/10/23,357.85
16/10/23,358.2
13/10/23,357.1
12/10/23,359.1
11/10/23,361.2
10/10/23,363.4
9/10/23,364.6
6/10/23,362.75
5/10/23,355.2
4/10/23,358.9
3/10/23,362.1
2/10/23,364.15
29/9/23,373.75
28/9/23,370.8
27/9/23,362.7
26/9/23,362.5
25/9/23,364.95
22/9/23,366.55
21/9/23,366.65
20/9/23,374.65
19/9/23,371.4
18/9/23,374.15
15/9/23,376.35
14/9/23,378.25
13/9/23,375.6
12/9/23,375.2
11/9/23,377.0
8/9/23,368.05
7/9/23,372.6
6/9/23,374.85
5/9/23,381.1
1/9/23,381.25
31/8/23,377.25
30/8/23,378.5
29/8/23,379.45
28/8/23,375.6
25/8/23,376.2
24/8/23,377.1
23/8/23,380.85
22/8/23,375.7
21/8/23,371.85
18/8/23,370.6
17/8/23,369.15
16/8/23,365.75
15/8/23,366.75
14/8/23,372.55
11/8/23,371.9
10/8/23,376.5
9/8/23,378.35
8/8/23,376.65
7/8/23,383.5
4/8/23,386.75
3/8/23,389.95
2/8/23,384.35
1/8/23,390.85
31/7/23,400.8
28/7/23,392.65
27/7/23,386.35
26/7/23,389.05
25/7/23,390.2
24/7/23,384.05
21/7/23,380.3
20/7/23,381.75
19/7/23,379.95
18/7/23,381.6
17/7/23,383.2
14/7/23,392.2
13/7/23,392.95
12/7/23,384.2
11/7/23,375.35
10/7/23,377.15
7/7/23,376.7
6/7/23,372.0
5/7/23,375.35
3/7/23,377.9
30/6/23,374.1
29/6/23,367.75
28/6/23,372.25
27/6/23,377.05
26/6/23,378.4
23/6/23,380.35
22/6/23,389.0
21/6/23,391.35
20/6/23,388.35
16/6/23,388.9
15/6/23,390.1
14/6/23,387.0
13/6/23,383.1
12/6/23,375.2
9/6/23,378.9
8/6/23,379.5
7/6/23,375.6
6/6/23,376.85
5/6/23,376.8
2/6/23,372.75
1/6/23,371.1
31/5/23,363.7
30/5/23,366.3
26/5/23,367.35
25/5/23,358.05
24/5/23,355.35
23/5/23,364.15
22/5/23,367.4
19/5/23,372.25
18/5/23,368.15
17/5/23,374.3
16/5/23,365.45
15/5/23,373.75
12/5/23,371.65
11/5/23,369.75
10/5/23,382.8
9/5/23,388.9
8/5/23,391.8
5/5/23,387.15
4/5/23,385.0
3/5/23,383.15
2/5/23,384.8
1/5/23,391.7
28/4/23,387.0
27/4/23,386.45
26/4/23,385.35
25/4/23,384.8
24/4/23,395.4
21/4/23,398.0
20/4/23,402.55
19/4/23,407.7
18/4/23,409.15
17/4/23,406.6
14/4/23,410.65
13/4/23,412.4
12/4/23,408.1
11/4/23,401.95
10/4/23,397.65
7/4/23,401.55
6/4/23,401.55
5/4/23,398.65
4/4/23,397.1
3/4/23,404.55
31/3/23,409.45
30/3/23,409.15
29/3/23,411.5
28/3/23,411.2
27/3/23,410.45
24/3/23,410.15
23/3/23,414.6
22/3/23,406.85
21/3/23,401.85
20/3/23,397.55
17/3/23,391.35
16/3/23,388.55
15/3/23,385.65
14/3/23,401.05
13/3/23,406.95
10/3/23,404.55
9/3/23,405.45
8/3/23,404.15
7/3/23,398.65
6/3/23,410.05
3/3/23,407.8
2/3/23,408.4
1/3/23,416.8
28/2/23,409.75
27/2/23,400.9
24/2/23,395.2
23/2/23,405.9
22/2/23,419.05
21/2/23,422.55
17/2/23,410.85
16/2/23,413.55
15/2/23,401.05
14/2/23,407.5
13/2/23,405.75
10/2/23,401.65
9/2/23,409.7
8/2/23,403.55
7/2/23,408.05
6/2/23,403.5
3/2/23,405.65
2/2/23,409.1
1/2/23,411.1
31/1/23,422.6
30/1/23,420.2
27/1/23,422.25
26/1/23,426.75
25/1/23,424.45
24/1/23,424.85
23/1/23,425.65
20/1/23,425.15
19/1/23,423.15
18/1/23,423.45
17/1/23,422.3
13/1/23,421.6
12/1/23,419.65
11/1/23,416.6
10/1/23,407.75
9/1/23,402.65
6/1/23,391.1
5/1/23,382.1
4/1/23,374.05
3/1/23,376.65
30/12/22,381.05
29/12/22,382.4
28/12/22,383.2
27/12/22,383.35
23/12/22,380.3
22/12/22,375.15
21/12/22,380.6
20/12/22,379.75
19/12/22,378.3
16/12/22,376.15
15/12/22,376.3
14/12/22,387.5
13/12/22,383.95
12/12/22,379.85
9/12/22,387.6
8/12/22,388.05
7/12/22,385.55
6/12/22,381.15
5/12/22,378.95
2/12/22,384.8
1/12/22,381.4
30/11/22,372.95
29/11/22,363.0
28/11/22,361.15
25/11/22,362.75
23/11/22,361.8
22/11/22,361.45
21/11/22,357.15
18/11/22,363.2
17/11/22,368.8
16/11/22,377.35
15/11/22,382.0
14/11/22,383.35
11/11/22,391.35
10/11/22,375.8
9/11/22,370.0
8/11/22,368.25
7/11/22,360.35
4/11/22,368.65
3/11/22,342.7
2/11/22,346.85
1/11/22,347.25
31/10/22,337.5
28/10/22,342.9
27/10/22,351.95
26/10/22,354.5
25/10/22,339.7
24/10/22,343.05
21/10/22,347.45
20/10/22,341.05
19/10/22,331.8
18/10/22,336.2
17/10/22,341.55
14/10/22,342.35
13/10/22,344.05
12/10/22,342.5
11/10/22,346.2
10/10/22,343.05
7/10/22,338.65
6/10/22,344.6
5/10/22,350.05
4/10/22,349.0
3/10/22,341.0
30/9/22,341.25
29/9/22,341.8
28/9/22,338.2
27/9/22,332.3
26/9/22,331.35
23/9/22,337.15
22/9/22,349.85
21/9/22,351.2
20/9/22,354.8
19/9/22,355.75
16/9/22,356.1
15/9/22,352.35
14/9/22,354.55
13/9/22,358.1
12/9/22,362.55
9/9/22,358.1
8/9/22,353.6
7/9/22,343.8
6/9/22,346.9
2/9/22,342.15
1/9/22,341.45
31/8/22,351.85
30/8/22,354.5
29/8/22,361.2
26/8/22,369.7
25/8/22,369.9
24/8/22,364.4
23/8/22,369.55
22/8/22,365.15
19/8/22,366.45
18/8/22,363.15
17/8/22,358.35
16/8/22,362.45
15/8/22,361.75
12/8/22,366.85
11/8/22,370.65
10/8/22,364.95
9/8/22,358.55
8/8/22,358.65
5/8/22,355.2
4/8/22,348.15
3/8/22,346.7
2/8/22,351.85
1/8/22,354.25
29/7/22,357.35
28/7/22,347.45
27/7/22,342.95
26/7/22,338.25
25/7/22,335.1
22/7/22,334.85
21/7/22,330.2
20/7/22,332.95
19/7/22,329.15
18/7/22,334.8
15/7/22,323.45
14/7/22,321.05
13/7/22,332.55
12/7/22,329.65
11/7/22,343.75
8/7/22,353.2
7/7/22,358.2
6/7/22,341.8
5/7/22,342.5
1/7/22,361.9
30/6/22,371.45
29/6/22,377.9
28/6/22,377.4
27/6/22,376.25
24/6/22,374.05
23/6/22,373.9
22/6/22,394.4
21/6/22,403.9
17/6/22,401.35
16/6/22,410.8
15/6/22,416.35
14/6/22,415.65
13/6/22,421.15
10/6/22,429.45
9/6/22,438.1
8/6/22,445.45
7/6/22,443.55
6/6/22,443.5
3/6/22,447.2
2/6/22,455.25
1/6/22,432.85
31/5/22,429.6
27/5/22,430.65
26/5/22,425.5
25/5/22,427.7
24/5/22,432.55
23/5/22,434.75
20/5/22,428.1
19/5/22,428.5
18/5/22,418.2
17/5/22,423.95
16/5/22,419.65
13/5/22,418.05
12/5/22,410.5
11/5/22,421.25
10/5/22,415.45
9/5/22,419.3
6/5/22,426.15
5/5/22,428.5
4/5/22,432.85
3/5/22,427.1
2/5/22,425.55
29/4/22,439.5
28/4/22,441.35
27/4/22,445.65
26/4/22,444.1
25/4/22,444.9
22/4/22,458.15
21/4/22,470.4
20/4/22,465.2
19/4/22,471.8
18/4/22,480.2
14/4/22,472.35
13/4/22,471.2
12/4/22,470.95
11/4/22,463.4
8/4/22,472.5
7/4/22,469.95
6/4/22,473.8
5/4/22,479.5
4/4/22,478.15
1/4/22,468.85
31/3/22,475.1
30/3/22,475.05
29/3/22,471.65
28/3/22,471.4
25/3/22,468.6
24/3/22,472.9
23/3/22,476.25
22/3/22,468.9
21/3/22,470.15
18/3/22,473.05
17/3/22,469.05
16/3/22,458.8
15/3/22,450.15
14/3/22,451.25
11/3/22,461.6
10/3/22,464.35
9/3/22,456.4
8/3/22,470.05
7/3/22,472.2
4/3/22,492.9
3/3/22,477.15
2/3/22,465.55
1/3/22,458.65
28/2/22,444.45
25/2/22,447.2
24/2/22,445.6
23/2/22,448.4
22/2/22,451.05
18/2/22,451.95
17/2/22,452.3
16/2/22,453.65
15/2/22,453.15
14/2/22,450.75
11/2/22,450.6
10/2/22,465.95
9/2/22,460.25
8/2/22,446.1
7/2/22,446.25
4/2/22,448.75
3/2/22,447.1
2/2/22,449.6
1/2/22,443.4
31/1/22,432.45
28/1/22,431.0
27/1/22,442.35
26/1/22,451.5
25/1/22,445.0
24/1/22,441.25
21/1/22,452.4
20/1/22,458.25
19/1/22,447.0
18/1/22,438.25
14/1/22,442.05
13/1/22,454.6
12/1/22,457.65
11/1/22,442.9
10/1/22,435.2
7/1/22,441.0
6/1/22,435.45
5/1/22,441.35
4/1/22,447.5
3/1/22,442.15
31/12/21,446.35
30/12/21,439.25
29/12/21,440.2
28/12/21,442.0
27/12/21,446.5
23/12/21,438.7
22/12/21,438.95
21/12/21,433.8
20/12/21,428.8
17/12/21,429.1
16/12/21,430.05
15/12/21,417.95
14/12/21,425.4
13/12/21,428.0
10/12/21,428.3
9/12/21,433.0
8/12/21,439.1
7/12/21,433.8
6/12/21,433.7
3/12/21,426.65
2/12/21,429.9
1/12/21,424.75
30/11/21,427.8
29/11/21,433.7
26/11/21,428.35
24/11/21,445.9
23/11/21,442.35
22/11/21,439.65
19/11/21,440.75
18/11/21,430.45
17/11/21,426.6
16/11/21,435.15
15/11/21,440.0
12/11/21,444.95
11/11/21,439.95
10/11/21,432.3
9/11/21,437.3
8/11/21,439.9
5/11/21,434.3
4/11/21,432.05
3/11/21,432.1
2/11/21,436.6
1/11/21,439.35
29/10/21,436.8
28/10/21,443.85
27/10/21,438.95
26/10/21,448.6
25/10/21,452.8
22/10/21,449.8
21/10/21,455.85
20/10/21,473.45
19/10/21,470.3
18/10/21,472.55
15/10/21,472.95
14/10/21,463.15
13/10/21,451.6
12/10/21,432.55
11/10/21,436.65
8/10/21,427.55
7/10/21,424.35
6/10/21,414.75
5/10/21,419.25
4/10/21,423.85
1/10/21,418.85
30/9/21,408.9
29/9/21,419.9
28/9/21,424.5
27/9/21,429.35
24/9/21,428.75
23/9/21,423.1
22/9/21,425.25
21/9/21,412.8
20/9/21,411.7
17/9/21,424.55
16/9/21,427.85
15/9/21,440.35
14/9/21,431.8
13/9/21,436.35
10/9/21,444.8
9/9/21,428.35
8/9/21,423.2
7/9/21,427.75
3/9/21,432.55
2/9/21,429.0
1/9/21,426.3
31/8/21,436.0
30/8/21,436.1
27/8/21,431.85
26/8/21,424.75
25/8/21,426.75
24/8/21,425.8
23/8/21,423.7
20/8/21,413.7
19/8/21,404.1
18/8/21,412.0
17/8/21,420.6
16/8/21,432.7
13/8/21,439.15
12/8/21,436.0
11/8/21,436.75
10/8/21,435.4
9/8/21,428.95
6/8/21,434.8
5/8/21,434.8
4/8/21,433.25
3/8/21,438.6
2/8/21,443.3
30/7/21,448.25
29/7/21,452.35
28/7/21,447.9
27/7/21,454.6
26/7/21,458.9
23/7/21,440.65
22/7/21,434.8
21/7/21,428.25
20/7/21,427.35
19/7/21,421.05
16/7/21,433.25
15/7/21,433.3
14/7/21,427.7
13/7/21,431.45
12/7/21,432.3
9/7/21,435.25
8/7/21,427.15
7/7/21,432.9
6/7/21,425.8
2/7/21,428.2
1/7/21,424.2
30/6/21,429.65
29/6/21,427.65
28/6/21,427.8
25/6/21,429.2
24/6/21,431.1
23/6/21,433.05
22/6/21,423.0
21/6/21,418.4
18/6/21,415.7
17/6/21,417.8
16/6/21,438.5
15/6/21,433.3
14/6/21,452.7
11/6/21,453.75
10/6/21,448.5
9/6/21,453.1
8/6/21,455.6
7/6/21,452.65
4/6/21,452.9
3/6/21,446.3
2/6/21,459.15
1/6/21,465.35
28/5/21,467.75
27/5/21,466.3
26/5/21,453.3
25/5/21,452.2
24/5/21,454.15
21/5/21,449.6
20/5/21,458.2
19/5/21,458.95
18/5/21,473.55
17/5/21,472.15
14/5/21,466.4
13/5/21,470.55
12/5/21,475.25
11/5/21,477.85
10/5/21,473.35
7/5/21,476.6
6/5/21,461.9
5/5/21,453.9
4/5/21,453.6
3/5/21,454.3
30/4/21,447.9
29/4/21,449.3
28/4/21,449.8
27/4/21,448.8
26/4/21,444.1
23/4/21,433.6
22/4/21,427.3
21/4/21,427.9
20/4/21,421.3
19/4/21,423.8
16/4/21,416.8
15/4/21,421.85
14/4/21,412.85
13/4/21,403.15
12/4/21,401.85
9/4/21,404.0
8/4/21,409.45
7/4/21,405.45
6/4/21,411.65
5/4/21,413.75
2/4/21,399.05
1/4/21,399.05
31/3/21,399.55
30/3/21,397.85
29/3/21,404.3
26/3/21,407.85
25/3/21,398.5
24/3/21,407.15
23/3/21,408.8
22/3/21,414.9
19/3/21,412.35
18/3/21,411.7
17/3/21,412.8
16/3/21,407.9
15/3/21,414.65
12/3/21,414.55
11/3/21,414.3
10/3/21,404.2
9/3/21,401.95
8/3/21,410.35
5/3/21,408.7
4/3/21,399.1
3/3/21,415.3
2/3/21,423.15
1/3/21,411.95
26/2/21,409.45
25/2/21,426.6
24/2/21,429.45
23/2/21,417.85
22/2/21,414.1
19/2/21,407.4
18/2/21,390.1
17/2/21,382.05
16/2/21,383.4
12/2/21,378.8
11/2/21,377.15
10/2/21,377.25
9/2/21,372.0
8/2/21,366.6
5/2/21,362.6
4/2/21,355.3
3/2/21,356.55
2/2/21,352.45
1/2/21,354.6
29/1/21,355.6
28/1/21,357.8
27/1/21,355.75
26/1/21,361.95
25/1/21,362.95
22/1/21,362.6
21/1/21,364.75
20/1/21,364.15
19/1/21,363.35
15/1/21,360.2
14/1/21,366.45
13/1/21,361.7
12/1/21,360.55
11/1/21,356.45
8/1/21,367.35
7/1/21,369.6
6/1/21,365.05
5/1/21,363.95
4/1/21,355.45
31/12/20,351.9
30/12/20,354.9
29/12/20,355.3
28/12/20,357.0
24/12/20,356.0
23/12/20,355.2
22/12/20,351.8
21/12/20,357.3
18/12/20,362.85
17/12/20,359.7
16/12/20,355.4
15/12/20,353.8
14/12/20,352.2
11/12/20,352.4
10/12/20,357.05
9/12/20,350.8
8/12/20,349.4
7/12/20,350.85
4/12/20,351.4
3/12/20,347.9
2/12/20,347.5
1/12/20,346.8
30/11/20,342.05
27/11/20,339.95
25/11/20,330.95
24/11/20,329.95
23/11/20,325.8
20/11/20,329.1
19/11/20,320.2
18/11/20,319.8
17/11/20,319.8
16/11/20,322.2
13/11/20,317.8
12/11/20,314.5
11/11/20,313.4
10/11/20,315.55
9/11/20,315.6
6/11/20,315.4
5/11/20,311.0
4/11/20,310.7
3/11/20,309.25
2/11/20,307.7
30/10/20,304.75
29/10/20,305.65
28/10/20,306.4
27/10/20,309.35
26/10/20,308.95
23/10/20,312.9
22/10/20,315.35
21/10/20,319.85
20/10/20,314.8
19/10/20,308.6
16/10/20,306.75
15/10/20,308.55
14/10/20,305.05
13/10/20,304.45
12/10/20,306.4
9/10/20,308.25
8/10/20,304.2
7/10/20,303.3
6/10/20,296.35
5/10/20,296.3
2/10/20,297.75
1/10/20,286.55
30/9/20,303.25
29/9/20,299.0
28/9/20,298.95
25/9/20,297.3
24/9/20,296.9
23/9/20,299.35
22/9/20,305.9
21/9/20,302.95
18/9/20,311.35
17/9/20,306.65
16/9/20,305.8
15/9/20,306.3
14/9/20,306.65
11/9/20,303.4
10/9/20,298.7
9/9/20,304.0
8/9/20,301.25
4/9/20,304.65
3/9/20,295.8
2/9/20,300.3
1/9/20,300.95
31/8/20,304.1
28/8/20,299.5
27/8/20,296.75
26/8/20,296.15
25/8/20,293.4
24/8/20,292.65
21/8/20,291.75
20/8/20,297.45
19/8/20,302.3
18/8/20,297.5
17/8/20,290.15
14/8/20,285.9
13/8/20,280.7
12/8/20,289.1
11/8/20,287.55
10/8/20,286.15
7/8/20,279.25
6/8/20,291.05
5/8/20,291.7
4/8/20,289.45
3/8/20,291.2
31/7/20,286.8
30/7/20,291.4
29/7/20,290.55
28/7/20,290.5
27/7/20,288.8
24/7/20,288.2
23/7/20,292.45
22/7/20,290.85
21/7/20,294.1
20/7/20,289.85
17/7/20,288.75
16/7/20,288.6
15/7/20,287.05
14/7/20,291.6
13/7/20,294.2
10/7/20,288.7
9/7/20,282.8
8/7/20,281.45
7/7/20,278.75
6/7/20,276.6
2/7/20,273.35
1/7/20,271.7
30/6/20,271.35
29/6/20,267.95
26/6/20,265.9
25/6/20,266.3
24/6/20,265.05
23/6/20,265.85
22/6/20,265.25
19/6/20,261.1
18/6/20,258.8
17/6/20,258.95
16/6/20,256.45
15/6/20,256.7
12/6/20,260.0
11/6/20,258.65
10/6/20,265.65
9/6/20,259.9
8/6/20,256.55
5/6/20,255.55
4/6/20,248.95
3/6/20,248.75
2/6/20,249.1
1/6/20,247.05
29/5/20,242.55
28/5/20,241.35
27/5/20,240.25
26/5/20,243.85
22/5/20,240.9
21/5/20,245.2
20/5/20,246.75
19/5/20,242.3
18/5/20,240.5
15/5/20,233.35
14/5/20,235.1
13/5/20,234.9
12/5/20,236.05
11/5/20,238.2
8/5/20,240.85
7/5/20,238.55
6/5/20,235.25
5/5/20,234.1
4/5/20,232.4
1/5/20,231.85
30/4/20,235.4
29/4/20,237.45
28/4/20,234.55
27/4/20,235.0
24/4/20,233.7
23/4/20,231.2
22/4/20,229.0
21/4/20,222.95
20/4/20,232.0
17/4/20,234.45
16/4/20,229.1
15/4/20,229.6
14/4/20,232.95
13/4/20,230.25
9/4/20,225.95
8/4/20,226.0
7/4/20,227.25
6/4/20,221.75
3/4/20,219.25
2/4/20,221.85
1/4/20,217.45
31/3/20,222.8
30/3/20,215.55
27/3/20,219.7
26/3/20,220.8
25/3/20,223.4
24/3/20,219.75
23/3/20,211.95
20/3/20,219.05
19/3/20,220.0
18/3/20,216.05
17/3/20,231.55
16/3/20,239.85
13/3/20,247.4
12/3/20,248.1
11/3/20,251.2
10/3/20,253.4
9/3/20,252.4
6/3/20,257.3
5/3/20,258.25
4/3/20,259.3
3/3/20,257.95
2/3/20,260.1
28/2/20,254.6
27/2/20,257.15
26/2/20,257.25
25/2/20,257.8
24/2/20,257.7
21/2/20,260.8
20/2/20,258.8
19/2/20,260.6
18/2/20,260.4
14/2/20,259.95
13/2/20,261.3
12/2/20,260.0
11/2/20,258.3
10/2/20,255.05
7/2/20,255.3
6/2/20,259.3
5/2/20,257.45
4/2/20,254.2
3/2/20,250.7
31/1/20,251.7
30/1/20,252.4
29/1/20,255.4
28/1/20,257.95
27/1/20,259.65
24/1/20,268.4
23/1/20,272.6
22/1/20,276.5
21/1/20,279.35
17/1/20,284.55
16/1/20,284.7
15/1/20,286.6
14/1/20,287.35
13/1/20,286.1
10/1/20,281.35
9/1/20,280.2
8/1/20,281.2
7/1/20,279.35
6/1/20,279.0
3/1/20,278.7
2/1/20,282.5
31/12/19,279.7
30/12/19,283.35
27/12/19,283.65
26/12/19,286.45
24/12/19,283.85
23/12/19,281.7
20/12/19,281.1
19/12/19,283.15
18/12/19,281.7
17/12/19,281.95
16/12/19,282.05
13/12/19,278.05
12/12/19,278.95
11/12/19,278.25
10/12/19,275.55
9/12/19,274.65
6/12/19,271.1
5/12/19,264.85
4/12/19,264.4
3/12/19,260.8
2/12/19,263.25
29/11/19,264.2
27/11/19,267.45
26/11/19,267.75
25/11/19,264.75
22/11/19,264.8
21/11/19,262.35
20/11/19,264.95
19/11/19,265.65
18/11/19,262.0
15/11/19,263.8
14/11/19,262.15
13/11/19,263.95
12/11/19,264.55
11/11/19,266.4
8/11/19,268.2
7/11/19,272.75
6/11/19,266.5
5/11/19,270.05
4/11/19,267.1
1/11/19,265.3
31/10/19,263.8
30/10/19,268.6
29/10/19,269.15
28/10/19,268.3
25/10/19,267.55
24/10/19,266.8
23/10/19,267.15
22/10/19,263.3
21/10/19,264.65
18/10/19,263.6
17/10/19,259.75
16/10/19,258.95
15/10/19,261.4
14/10/19,263.4
11/10/19,262.8
10/10/19,261.35
9/10/19,256.8
8/10/19,256.85
7/10/19,257.7
4/10/19,256.25
3/10/19,255.35
2/10/19,257.05
1/10/19,256.05
30/9/19,257.85
27/9/19,259.75
26/9/19,256.0
25/9/19,259.5
24/9/19,258.95
23/9/19,259.45
20/9/19,259.0
19/9/19,259.1
18/9/19,259.55
17/9/19,260.95
16/9/19,262.1
13/9/19,268.1
12/9/19,262.35
11/9/19,259.75
10/9/19,261.05
9/9/19,261.05
6/9/19,261.55
5/9/19,262.45
4/9/19,257.9
3/9/19,251.25
30/8/19,253.3
29/8/19,255.95
28/8/19,255.4
27/8/19,254.75
26/8/19,254.35
23/8/19,253.0
22/8/19,255.75
21/8/19,258.55
20/8/19,257.8
19/8/19,260.15
16/8/19,259.5
15/8/19,259.5
14/8/19,259.2
13/8/19,263.0
12/8/19,258.5
9/8/19,258.9
8/8/19,260.75
7/8/19,257.1
6/8/19,255.75
5/8/19,254.4
2/8/19,257.15
1/8/19,266.55
31/7/19,266.6
30/7/19,267.85
29/7/19,270.95
26/7/19,267.65
25/7/19,269.55
24/7/19,270.4
23/7/19,269.4
22/7/19,271.45
19/7/19,274.45
18/7/19,270.4
17/7/19,271.0
16/7/19,269.35
15/7/19,270.75
12/7/19,269.15
11/7/19,268.25
10/7/19,269.3
9/7/19,262.45
8/7/19,265.6
5/7/19,265.85
3/7/19,267.95
2/7/19,265.75
1/7/19,267.95
28/6/19,270.55
27/6/19,271.25
26/6/19,271.35
25/6/19,273.55
24/6/19,270.55
21/6/19,270.45
20/6/19,271.2
19/6/19,268.05
18/6/19,270.3
17/6/19,264.65
14/6/19,262.95
13/6/19,265.65
12/6/19,265.4
11/6/19,267.15
10/6/19,266.15
7/6/19,262.75
6/6/19,265.05
5/6/19,262.3
4/6/19,266.9
3/6/19,265.0
31/5/19,264.0
30/5/19,265.4
29/5/19,267.25
28/5/19,270.35
24/5/19,270.65
23/5/19,268.65
22/5/19,268.6
21/5/19,272.35
20/5/19,273.6
17/5/19,274.8
16/5/19,275.85
15/5/19,275.35
14/5/19,273.45
13/5/19,272.95
10/5/19,278.5
9/5/19,278.35
8/5/19,278.55
7/5/19,279.4
6/5/19,283.7
3/5/19,282.5
2/5/19,278.4
1/5/19,280.3
30/4/19,290.15
29/4/19,289.5
26/4/19,288.65
25/4/19,286.15
24/4/19,291.0
23/4/19,289.35
22/4/19,290.15
18/4/19,292.0
17/4/19,296.75
16/4/19,293.05
15/4/19,293.5
12/4/19,294.6
11/4/19,288.7
10/4/19,292.55
9/4/19,293.4
8/4/19,293.2
5/4/19,289.45
4/4/19,291.0
3/4/19,294.85
2/4/19,290.55
1/4/19,292.45
29/3/19,293.6
28/3/19,287.25
27/3/19,285.8
26/3/19,285.05
25/3/19,284.95
22/3/19,283.6
21/3/19,290.0
20/3/19,291.55
19/3/19,291.95
18/3/19,290.35
15/3/19,290.35
14/3/19,288.85
13/3/19,293.35
12/3/19,292.75
11/3/19,290.0
8/3/19,289.4
7/3/19,291.15
6/3/19,291.85
5/3/19,293.6
4/3/19,291.1
1/3/19,293.35
28/2/19,295.0
27/2/19,295.9
26/2/19,294.5
25/2/19,294.5
22/2/19,295.15
21/2/19,289.7
20/2/19,292.0
19/2/19,287.45
15/2/19,279.85
