Date,CL1 Comdty - Last Price,CO1 Comdty - Last Price,CP1 Comdty - Last Price,SM1 Comdty - Last Price,C 1 Comdty - Last Price,GC1 Comdty - Last Price,HG1 Comdty - Last Price,HO1 Comdty - Last Price,JX1 Comdty - Last Price,LMAHDS03 Comdty - Last Price,LMCADS03 Comdty - Last Price,LMSNDS03 Comdty - Last Price,LMZSDS03 Comdty - Last Price,MO1 Comdty - Last Price,GC1 Comdty - Last Price_GC1,NG1 Comdty - Last Price,O 1 Comdty - Last Price,QS1 Comdty - Last Price,S 1 Comdty - Last Price,SI1 Comdty - Last Price,C 1 Comdty - Last Price_W 1,XB1 Comdty - Last Price
1977-11-17,,,,170.0,225 1/4,160.6,,,,,,,,,160.6,,141,,607 1/4,4.84,225 1/4,
1977-11-18,,,,171.3,226 1/4,161.5,,,,,,,,,161.5,,144,,610 3/4,4.857,226 1/4,
1977-11-21,,,,165.9,224,155.2,,,,,,,,,155.2,,143,,612 3/4,4.67,224,
1977-11-22,,,,160.5,220 1/2,155.9,,,,,,,,,155.9,,138 3/4,,598 1/2,4.68,220 1/2,
1977-11-23,,,,160.9,221 1/2,158.6,,,,,,,,,158.6,,138,,594 1/2,4.71,221 1/2,
1977-11-25,,,,164.9,225,159.5,,,,,,,,,159.5,,138 3/4,,611 1/2,4.745,225,
1977-11-28,,,,156.3,222 1/2,160.8,,,,,,,,,160.8,,134 1/4,,591 3/4,4.722,222 1/2,
1977-11-29,,,,157.3,221 3/4,160.6,,,,,,,,,160.6,,133,,593 1/4,4.746,221 3/4,
1977-11-30,,,,155.3,221 1/2,160.2,,,,,,,,,160.2,,133 1/2,,585 3/4,4.764,221 1/2,
1977-12-01,,,,154.9,220,157.9,,,,,,,,,157.9,,135 1/2,,587 1/2,4.666,220,
1977-12-02,,,,155.4,220 1/2,158.3,,,,,,,,,158.3,,136 1/4,,590,4.685,220 1/2,
1977-12-05,,,,153.6,217 1/2,159.9,,,,,,,,,159.9,,134 1/4,,582 1/2,4.746,217 1/2,
1977-12-06,,,,153.6,218 1/2,160.0,,,,,,,,,160.0,,132 3/4,,585 1/2,4.738,218 1/2,
1977-12-07,,,,155.1,218,161.8,,,,,,,,,161.8,,133 1/2,,594 1/2,4.796,218,
1977-12-08,,,,156.5,218,160.4,,,,,,,,,160.4,,132 3/4,,606 3/4,4.768,218,
1977-12-09,,,,156.0,217,158.4,,,,,,,,,158.4,,133,,604 1/2,4.728,217,
