Date,CO1 Comdty - Last Price
14/11/23,82.46
13/11/23,82.52
10/11/23,81.43
9/11/23,80.01
8/11/23,79.54
7/11/23,81.61
6/11/23,85.18
3/11/23,84.89
2/11/23,86.85
1/11/23,84.63
31/10/23,87.41
30/10/23,87.45
27/10/23,90.48
26/10/23,87.93
25/10/23,90.13
24/10/23,88.07
23/10/23,89.83
20/10/23,92.16
19/10/23,92.38
18/10/23,91.5
17/10/23,89.9
16/10/23,89.65
13/10/23,90.89
12/10/23,86
11/10/23,85.82
10/10/23,87.65
9/10/23,88.15
6/10/23,84.58
5/10/23,84.07
4/10/23,85.81
3/10/23,90.92
2/10/23,90.71
29/9/23,95.31
28/9/23,95.38
27/9/23,96.55
26/9/23,93.96
25/9/23,93.29
22/9/23,93.27
21/9/23,93.3
20/9/23,93.53
19/9/23,94.34
18/9/23,94.43
15/9/23,93.93
14/9/23,93.7
13/9/23,91.88
12/9/23,92.06
11/9/23,90.64
8/9/23,90.65
7/9/23,89.92
6/9/23,90.6
5/9/23,90.04
4/9/23,89
1/9/23,88.55
31/8/23,86.86
30/8/23,85.86
29/8/23,85.49
28/8/23,84.42
25/8/23,84.48
24/8/23,83.36
23/8/23,83.21
22/8/23,84.03
21/8/23,84.46
18/8/23,84.8
17/8/23,84.12
16/8/23,83.45
15/8/23,84.89
14/8/23,86.21
11/8/23,86.81
10/8/23,86.4
9/8/23,87.55
8/8/23,86.17
7/8/23,85.34
4/8/23,86.24
3/8/23,85.14
2/8/23,83.2
1/8/23,84.91
31/7/23,85.56
28/7/23,84.99
27/7/23,84.24
26/7/23,82.92
25/7/23,83.64
24/7/23,82.74
21/7/23,81.07
20/7/23,79.64
19/7/23,79.46
18/7/23,79.63
17/7/23,78.5
14/7/23,79.87
13/7/23,81.36
12/7/23,80.11
11/7/23,79.4
10/7/23,77.69
7/7/23,78.47
6/7/23,76.52
5/7/23,76.65
4/7/23,76.25
3/7/23,74.65
30/6/23,74.9
29/6/23,74.34
28/6/23,74.03
27/6/23,72.26
26/6/23,74.18
23/6/23,73.85
22/6/23,74.14
21/6/23,77.12
20/6/23,75.9
19/6/23,76.09
16/6/23,76.61
15/6/23,75.67
14/6/23,73.2
13/6/23,74.29
12/6/23,71.84
9/6/23,74.79
8/6/23,75.96
7/6/23,76.95
6/6/23,76.29
5/6/23,76.71
2/6/23,76.13
1/6/23,74.28
31/5/23,72.66
30/5/23,73.54
29/5/23,77.07
26/5/23,76.95
25/5/23,76.26
24/5/23,78.36
23/5/23,76.84
22/5/23,75.99
19/5/23,75.58
18/5/23,75.86
17/5/23,76.96
16/5/23,74.91
15/5/23,75.23
12/5/23,74.17
11/5/23,74.98
10/5/23,76.41
9/5/23,77.44
8/5/23,77.01
5/5/23,75.3
4/5/23,72.5
3/5/23,72.33
2/5/23,75.32
1/5/23,79.31
28/4/23,79.54
27/4/23,78.37
26/4/23,77.69
25/4/23,80.77
24/4/23,82.73
21/4/23,81.66
20/4/23,81.1
19/4/23,83.12
18/4/23,84.77
17/4/23,84.76
14/4/23,86.31
13/4/23,86.09
12/4/23,87.33
11/4/23,85.61
10/4/23,84.18
6/4/23,85.12
5/4/23,84.99
4/4/23,84.94
3/4/23,84.93
31/3/23,79.77
30/3/23,79.27
29/3/23,78.28
28/3/23,78.65
27/3/23,78.12
24/3/23,74.99
23/3/23,75.91
22/3/23,76.69
21/3/23,75.32
20/3/23,73.79
17/3/23,72.97
16/3/23,74.7
15/3/23,73.69
14/3/23,77.45
13/3/23,80.77
10/3/23,82.78
9/3/23,81.59
8/3/23,82.66
7/3/23,83.29
6/3/23,86.18
3/3/23,85.83
2/3/23,84.75
1/3/23,84.31
28/2/23,83.89
27/2/23,82.45
24/2/23,83.16
23/2/23,82.21
22/2/23,80.6
21/2/23,83.05
20/2/23,84.07
17/2/23,83
16/2/23,85.14
15/2/23,85.38
14/2/23,85.58
13/2/23,86.61
10/2/23,86.39
9/2/23,84.5
8/2/23,85.09
7/2/23,83.69
6/2/23,80.99
3/2/23,79.94
2/2/23,82.17
1/2/23,82.84
31/1/23,84.49
30/1/23,84.9
27/1/23,86.66
26/1/23,87.47
25/1/23,86.12
24/1/23,86.13
23/1/23,88.19
20/1/23,87.63
19/1/23,86.16
18/1/23,84.98
17/1/23,85.92
16/1/23,84.46
13/1/23,85.28
12/1/23,84.03
11/1/23,82.67
10/1/23,80.1
9/1/23,79.65
6/1/23,78.57
5/1/23,78.69
4/1/23,77.84
3/1/23,82.1
2/1/23,85.91
30/12/22,85.91
29/12/22,82.26
28/12/22,83.26
27/12/22,84.33
23/12/22,83.92
22/12/22,80.98
21/12/22,82.2
20/12/22,79.99
19/12/22,79.8
16/12/22,79.04
15/12/22,81.21
14/12/22,82.7
13/12/22,80.68
12/12/22,77.99
9/12/22,76.1
8/12/22,76.15
7/12/22,77.17
6/12/22,79.35
5/12/22,82.68
2/12/22,85.57
1/12/22,86.88
30/11/22,85.43
29/11/22,83.03
28/11/22,83.19
25/11/22,83.63
24/11/22,85.34
23/11/22,85.41
22/11/22,88.36
21/11/22,87.45
18/11/22,87.62
17/11/22,89.78
16/11/22,92.86
15/11/22,93.86
14/11/22,93.14
11/11/22,95.99
10/11/22,93.67
9/11/22,92.65
8/11/22,95.36
7/11/22,97.92
4/11/22,98.57
3/11/22,94.67
2/11/22,96.16
1/11/22,94.65
31/10/22,94.83
28/10/22,95.77
27/10/22,96.96
26/10/22,95.69
25/10/22,93.52
24/10/22,93.26
21/10/22,93.5
20/10/22,92.38
19/10/22,92.41
18/10/22,90.03
17/10/22,91.62
14/10/22,91.63
13/10/22,94.57
12/10/22,92.45
11/10/22,94.29
10/10/22,96.19
7/10/22,97.92
6/10/22,94.42
5/10/22,93.37
4/10/22,91.8
3/10/22,88.86
30/9/22,87.96
29/9/22,88.49
28/9/22,89.32
27/9/22,86.27
26/9/22,84.06
23/9/22,86.15
22/9/22,90.46
21/9/22,89.83
20/9/22,90.62
19/9/22,92
16/9/22,91.35
15/9/22,90.84
14/9/22,94.1
13/9/22,93.17
12/9/22,94
9/9/22,92.84
8/9/22,89.15
7/9/22,88
6/9/22,92.83
5/9/22,95.74
2/9/22,93.02
1/9/22,92.36
31/8/22,96.49
30/8/22,99.31
29/8/22,105.09
26/8/22,100.99
25/8/22,99.34
24/8/22,101.22
23/8/22,100.22
22/8/22,96.48
19/8/22,96.72
18/8/22,96.59
17/8/22,93.65
16/8/22,92.34
15/8/22,95.1
12/8/22,98.15
11/8/22,99.6
10/8/22,97.4
9/8/22,96.31
8/8/22,96.65
5/8/22,94.92
4/8/22,94.12
3/8/22,96.78
2/8/22,100.54
1/8/22,100.03
29/7/22,110.01
28/7/22,107.14
27/7/22,106.62
26/7/22,104.4
25/7/22,105.15
22/7/22,103.2
21/7/22,103.86
20/7/22,106.92
19/7/22,107.35
18/7/22,106.27
15/7/22,101.16
14/7/22,99.1
