Date,CP1 Comdty - Last Price
14/11/23,80320
13/11/23,79280
10/11/23,78750
9/11/23,78200
8/11/23,79120
7/11/23,81520
6/11/23,81550
2/11/23,81740
1/11/23,81700
31/10/23,84690
30/10/23,84690
27/10/23,84370
26/10/23,84930
25/10/23,84550
24/10/23,85180
23/10/23,85100
20/10/23,85760
19/10/23,85100
18/10/23,85150
17/10/23,84310
16/10/23,84840
13/10/23,82800
12/10/23,81650
11/10/23,82850
10/10/23,83000
6/10/23,80300
5/10/23,81890
4/10/23,86000
3/10/23,85230
2/10/23,87330
29/9/23,86560
28/9/23,86710
27/9/23,86630
26/9/23,86580
25/9/23,86600
22/9/23,86610
21/9/23,86240
20/9/23,86130
19/9/23,86860
15/9/23,86850
14/9/23,85610
13/9/23,85650
12/9/23,84400
11/9/23,84100
8/9/23,84000
7/9/23,85100
6/9/23,84300
5/9/23,82950
4/9/23,82740
1/9/23,80500
31/8/23,78790
30/8/23,78800
29/8/23,79080
28/8/23,78900
25/8/23,78450
24/8/23,78500
23/8/23,78740
22/8/23,78710
21/8/23,78520
18/8/23,78400
17/8/23,78250
16/8/23,78750
15/8/23,79470
14/8/23,79300
10/8/23,79980
9/8/23,78620
8/8/23,78350
7/8/23,78200
4/8/23,77420
3/8/23,76490
2/8/23,77570
1/8/23,76830
31/7/23,71400
28/7/23,71490
27/7/23,71580
26/7/23,71500
25/7/23,71300
24/7/23,70900
21/7/23,70670
20/7/23,70620
19/7/23,70590
18/7/23,69420
14/7/23,70380
13/7/23,70350
12/7/23,70000
11/7/23,69300
10/7/23,70300
7/7/23,69690
6/7/23,69570
5/7/23,69070
4/7/23,68400
3/7/23,68550
30/6/23,66660
29/6/23,66480
28/6/23,66290
27/6/23,66340
26/6/23,66220
23/6/23,66300
22/6/23,66810
21/6/23,66510
20/6/23,66300
19/6/23,66000
16/6/23,64900
15/6/23,64980
14/6/23,65180
13/6/23,63900
12/6/23,64810
9/6/23,65800
8/6/23,66680
7/6/23,65200
6/6/23,66100
5/6/23,66400
2/6/23,63900
1/6/23,62650
31/5/23,64580
30/5/23,64840
29/5/23,65230
26/5/23,64860
25/5/23,65390
24/5/23,65090
23/5/23,64660
22/5/23,64560
19/5/23,64350
18/5/23,64550
17/5/23,63510
16/5/23,63900
15/5/23,63230
12/5/23,62890
11/5/23,64540
10/5/23,64760
9/5/23,64600
8/5/23,64380
2/5/23,68350
1/5/23,68400
28/4/23,69930
27/4/23,69850
26/4/23,70100
25/4/23,70290
24/4/23,70050
21/4/23,69980
20/4/23,70670
19/4/23,71290
18/4/23,71550
17/4/23,71780
14/4/23,71490
13/4/23,71870
12/4/23,71460
11/4/23,70720
10/4/23,70360
7/4/23,69600
6/4/23,69900
5/4/23,70040
4/4/23,70770
3/4/23,69870
31/3/23,65970
30/3/23,65700
29/3/23,65800
28/3/23,65710
27/3/23,65240
24/3/23,65400
23/3/23,65420
22/3/23,65500
20/3/23,64570
17/3/23,65950
16/3/23,65610
15/3/23,67800
14/3/23,68200
13/3/23,70200
10/3/23,69800
9/3/23,70800
8/3/23,71350
7/3/23,72400
6/3/23,71500
3/3/23,71540
2/3/23,70880
1/3/23,70410
28/2/23,68510
27/2/23,68500
24/2/23,68650
22/2/23,68360
21/2/23,68300
20/2/23,68300
17/2/23,68750
16/2/23,69300
15/2/23,68700
14/2/23,68580
13/2/23,68450
10/2/23,67450
9/2/23,67710
8/2/23,66900
7/2/23,66300
6/2/23,64900
3/2/23,64800
2/2/23,65800
1/2/23,68000
31/1/23,65840
30/1/23,65990
27/1/23,66200
26/1/23,66080
25/1/23,66260
24/1/23,66450
23/1/23,66100
20/1/23,66000
19/1/23,65300
18/1/23,66600
17/1/23,65500
16/1/23,65000
13/1/23,64800
12/1/23,65300
11/1/23,63750
10/1/23,63400
6/1/23,64200
5/1/23,62870
4/1/23,64190
30/12/22,65640
29/12/22,65790
28/12/22,65790
