Date,CL1 Comdty - Last Price,CO1 Comdty - Last Price,CP1 Comdty - Last Price
2023-11-14,78.25,82.46,80320
2023-11-13,78.26,82.52,79280
2023-11-10,83.49,85.82,82850
2023-11-09,87.29,90.64,84100
2023-11-07,74.83,79.4,69300
2023-11-05,70.87,74.98,64540
2023-11-04,81.53,85.61,70720
2023-11-01,77.41,82.67,63750
2023-10-31,81.02,87.41,84690
2023-10-30,82.31,87.45,84690
2023-10-27,85.54,90.48,84370
2023-10-26,83.21,87.93,84930
2023-10-25,85.39,90.13,84550
2023-10-24,83.74,88.07,85180
2023-10-23,85.49,89.83,85100
2023-10-20,88.75,92.16,85760
2023-10-19,89.37,92.38,85100
2023-10-18,88.32,91.5,85150
2023-10-17,86.66,89.9,84310
2023-10-16,86.66,89.65,84840
2023-10-13,87.69,90.89,82800
2023-10-11,77.17,81.43,78750
2023-10-10,85.97,87.65,83000
2023-10-08,82.82,86.4,79980
2023-10-07,72.99,77.69,70300
2023-10-05,72.56,76.41,64760
2023-10-04,79.74,84.18,70360
2023-10-03,76.68,82.78,69800
2023-10-02,79.72,86.39,67450
2023-10-01,75.12,80.1,63400
2023-09-29,90.79,95.31,86560
2023-09-28,91.71,95.38,86710
2023-09-27,93.68,96.55,86630
2023-09-26,90.39,93.96,86580
2023-09-25,89.68,93.29,86600
2023-09-22,90.03,93.27,86610
2023-09-21,89.63,93.3,86240
2023-09-20,90.28,93.53,86130
2023-09-19,91.2,94.34,86860
2023-09-15,90.77,93.93,86850
2023-09-14,90.16,93.7,85610
2023-09-13,88.52,91.88,85650
2023-09-11,75.74,80.01,78200
2023-09-08,84.4,87.55,78620
2023-09-06,70.17,74.79,65800
2023-09-05,73.71,77.44,64600
2023-09-03,75.72,81.59,70800
2023-09-02,78.06,84.5,67710
2023-08-31,83.63,86.86,78790
2023-08-30,81.63,85.86,78800
2023-08-29,81.16,85.49,79080
2023-08-28,80.1,84.42,78900
2023-08-25,79.83,84.48,78450
2023-08-24,79.05,83.36,78500
2023-08-23,78.89,83.21,78740
2023-08-22,80.35,84.03,78710
2023-08-21,80.72,84.46,78520
2023-08-18,81.25,84.8,78400
2023-08-17,80.39,84.12,78250
2023-08-16,79.38,83.45,78750
2023-08-15,80.99,84.89,79470
2023-08-14,82.51,86.21,79300
2023-08-11,75.33,79.54,79120
2023-08-09,87.51,90.65,84000
2023-08-08,82.92,86.17,78350
2023-08-06,71.29,75.96,66680
2023-08-05,73.16,77.01,64380
2023-08-03,76.66,82.66,71350
2023-08-02,78.47,85.09,66900
2023-07-31,81.8,85.56,71400
2023-07-28,80.58,84.99,71490
2023-07-27,80.09,84.24,71580
2023-07-26,78.78,82.92,71500
2023-07-25,79.63,83.64,71300
2023-07-24,78.74,82.74,70900
2023-07-21,77.07,81.07,70670
2023-07-20,75.63,79.64,70620
2023-07-19,75.35,79.46,70590
2023-07-18,75.75,79.63,69420
2023-07-14,75.42,79.87,70380
2023-07-13,76.89,81.36,70350
2023-07-11,77.37,81.61,81520
2023-07-09,86.87,89.92,85100
2023-07-08,81.94,85.34,78200
2023-07-07,73.86,78.47,69690
2023-07-06,72.53,76.95,65200
2023-07-03,77.58,83.29,72400
2023-07-02,77.14,83.69,66300
2023-06-30,70.64,74.9,66660
2023-06-29,69.86,74.34,66480
2023-06-28,69.56,74.03,66290
2023-06-27,67.7,72.26,66340
2023-06-26,69.37,74.18,66220
2023-06-23,69.16,73.85,66300
2023-06-22,69.51,74.14,66810
2023-06-21,72.53,77.12,66510
2023-06-20,70.5,75.9,66300
2023-06-16,71.78,76.61,64900
2023-06-15,70.62,75.67,64980
2023-06-14,68.27,73.2,65180
2023-06-13,69.42,74.29,63900
2023-06-11,80.82,85.18,81550
