Date,SPGCCLP Index,SPGCHUP Index,SPGCNGP Index,SPGCGOP Index,SPGCHOP Index,SPGCGCP Index,SPGCSIP Index,SPGCCNP Index,SPGCWHP Index,SPGCKCP Index,SPGCSBP Index,SPGCILP Index,SPGCIKP Index,SPGCIAP Index,SPGCICP Index,SPGCIZP Index
1/8/1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/9/1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/10/1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/11/1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/14/1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/15/1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/16/1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/17/1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/18/1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/21/1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/22/1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/23/1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/24/1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/25/1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/28/1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/29/1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/30/1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/31/1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/1/1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/4/1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/5/1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/6/1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/7/1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/8/1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/11/1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/12/1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/13/1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/14/1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/15/1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/19/1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/20/1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/21/1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/22/1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/25/1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/26/1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/27/1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/28/1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/1/1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/4/1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/5/1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/6/1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/7/1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/8/1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/11/1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/12/1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/13/1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/14/1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/15/1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/18/1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/19/1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
