Date,SPGCCLP Index,SPGCHUP Index,SPGCNGP Index,SPGCGOP Index,SPGCHOP Index,SPGCGCP Index,SPGCSIP Index,SPGCCNP Index,SPGCWHP Index,SPGCKCP Index,SPGCSBP Index,SPGCILP Index,SPGCIKP Index,SPGCIAP Index,SPGCICP Index,SPGCIZP Index
30/11/23,141.6874,2013.325,2.3093,672.5551,449.1616,139.5591,80.4837,8.765071,5.69588,10.88363,18.8573,187.9033,201.9795,24.37699,724.3017,61.4915
29/11/23,145.2314,2079.4861,2.3109,687.5198,458.0496,140.2307,79.80307,8.637975,5.5792,10.17652,19.4511,190.2268,207.7009,24.58403,720.1757,62.0951
28/11/23,142.5267,2028.871,2.3381,697.5675,459.3216,139.7626,79.36082,8.597123,5.44823,10.20009,19.5452,190.9687,203.3458,24.62879,724.8555,63.0473
27/11/23,139.6355,1985.196,2.4279,684.7406,448.9985,137.9174,78.53277,8.628897,5.34345,9.96144,19.6973,191.9239,194.9529,24.55045,714.7231,63.0909
24/11/23,140.9039,1977.053,2.4716,697.7812,450.4825,137.2729,77.44753,8.760532,5.49823,9.9084,19.538,195.2115,195.7702,24.65788,720.8841,63.5327
22/11/23,143.8138,2031.832,2.4996,686.8784,457.3483,136.5742,75.38055,8.855854,5.56729,9.96144,19.7118,197.6105,199.3933,24.69313,714.8089,62.0678
21/11/23,145.0635,2043.121,2.4667,694.7883,465.1436,137.1576,75.97022,8.87855,5.55062,9.93197,20.0956,202.1865,206.237,25.14637,723.2025,63.3585
20/11/23,145.1754,2033.127,2.5136,691.3678,454.6248,135.7058,75.14845,8.851315,5.43394,10.08518,19.958,202.5863,205.7734,24.98354,721.8501,63.7754
17/11/23,141.8365,1993.5229,2.5804,674.9067,442.5893,136.0043,75.90749,8.810463,5.48395,9.82002,19.6828,204.2301,205.2549,24.56723,707.7033,63.5638
16/11/23,136.3339,1920.9771,2.6694,663.7901,435.7888,136.1875,76.14587,8.955715,5.53395,10.08813,19.6901,203.2465,206.7127,24.66235,703.8178,64.0866
15/11/23,143.2355,2017.489,2.7708,686.8785,455.1793,134.6136,74.89125,8.869471,5.60063,10.32089,19.6611,199.9207,211.6289,24.87218,707.9824,66.0904
14/11/23,145.8096,2036.2729,2.7329,693.5057,453.2386,134.7561,73.60213,8.973871,5.69349,10.09992,19.6828,195.9445,212.4584,24.85819,705.4493,64.6964
13/11/23,145.8469,2044.323,2.8021,684.9545,452.7983,133.6571,71.18072,8.946636,5.73636,10.20599,20.0666,193.0123,211.4398,24.77146,699.7605,63.4891
10/11/23,143.8887,2004.002,2.6973,668.1173,439.4143,132.8074,70.94352,8.69723,5.70612,10.03325,19.7625,194.0867,209.7549,24.6802,688.5785,63.7654
9/11/23,141.2555,1977.0129,2.725,663.0574,435.5893,134.998,72.91054,8.768021,5.76805,10.26116,20.1173,195.1603,216.5719,24.99671,698.38,64.7728
8/11/23,140.4685,1949.6429,2.7779,679.4313,440.0241,134.1844,72.34155,8.910485,5.87542,10.05763,19.7046,195.0318,220.052,25.23155,697.9921,64.9394
7/11/23,144.2205,1986.142,2.8148,694.2328,454.0848,135.2582,71.90294,8.774632,5.66189,9.86099,19.9797,195.227,217.7846,25.24949,701.9942,63.8284
6/11/23,150.6514,2048.6299,2.926,719.1096,472.3224,136.2931,73.95604,8.938513,5.7165,10.03135,20.2404,193.878,224.3162,25.50198,706.9457,63.9464
3/11/23,150.0735,2016.653,3.151,717.2122,467.747,137.0196,74.11838,8.938513,5.68423,9.86965,20.1101,193.5242,221.6876,25.13446,701.6497,62.7784
2/11/23,153.7084,2057.884,3.1125,734.4995,484.0169,136.6289,72.721,8.802726,5.61473,9.54913,19.9001,188.46,218.814,24.84561,698.851,61.567
1/11/23,149.943,2002.451,3.1322,724.3801,473.7782,136.2177,72.54275,8.896372,5.5775,9.22861,19.9218,186.3582,219.3287,24.9998,696.0954,62.1569
31/10/23,151.0241,2031.588,3.2048,717.423,465.5393,136.6838,73.05841,8.966607,5.52289,9.66174,19.6176,184.5457,220.7625,25.21751,696.0954,60.3804
30/10/23,153.4287,2031.13,3.0049,706.6711,461.3958,137.4583,74.4717,8.957242,5.6197,9.18819,19.3714,187.9292,225.1986,25.38416,699.3462,61.2563
27/10/23,159.4495,2102.9641,3.1223,717.423,474.93,136.9717,72.8515,9.004065,5.71402,9.29502,19.7987,188.0619,223.9241,24.85953,696.0093,61.4614
